DI,TradeValue,RealmType,Enclave,LivingQuarters,ParcelSize,ParcelSizeUnit
58,229000.0,Meadowlands,Shadowmere,1779.0,11060.0,sqft
59,82000.0,CitadelQuarter,Brightforge,,8400.0,sqft
60,208000.0,Meadowlands,Thornfield,1524.0,13607.0,sqft
61,107900.0,GnomeBurough,Petalbridge,693.0,6000.0,sqft
62,535000.0,Meadowlands,Riverbend,,16052.0,sqft
63,164990.0,Meadowlands,Sunspire,1007.0,8767.0,sqft
64,360000.0,Meadowlands,Silverglen,1335.0,11578.0,sqft
65,163500.0,Meadowlands,Dragonspire,923.0,8800.0,sqft
66,316600.0,Meadowlands,Brightforge,1639.0,12327.0,sqft
67,145000.0,GnomeBurough,Shadowmere,824.0,3675.0,sqft
68,185000.0,Meadowlands,Duskwood,1264.0,9649.0,sqft
69,212999.0,Meadowlands,Sunspire,1153.0,8760.0,sqft
70,193500.0,Meadowlands,Dragonspire,1647.0,13000.0,sqft
71,129800.0,Meadowlands,Dragonspire,627.0,8550.0,sqft
72,191750.0,Meadowlands,BRIGHTFORGE,1399.0,11613.0,sqft
73,73000.0,GnomeBurough,Petalbridge,587.0,5232.0,sqft
74,144100.0,GnomeBurough,Petalbridge,1269.0,8398.0,sqft
75,232000.0,Meadowlands,Wyverncliff,1210.0,11957.0,sqft
76,372500.0,Meadowlands,Riverbend,1573.0,11844.0,sqft
77,164000.0,GnomeBurough,Crystalhollow,935.0,4500.0,sqft
78,225000.0,Meadowlands,Duskwood,1525.0,10762.0,sqft
79,176000.0,Meadowlands,Nighthaven,1521.0,9900.0,sqft
80,216000.0,AetherIsles,Wyverncliff,1287.0,7500.0,sqft
81,132000.0,Meadowlands,Dragonspire,975.0,-7800.0,sqft
82,220000.0,Meadowlands,Sunspire,1163.0,15750.0,sqft
83,120000.0,GnomeBurough,Petalbridge,,9576.0,sqft
84,146000.0,Meadowlands,Sunspire,761.0,8428.0,sqft
85,110500.0,GnomeBurough,Petalbridge,666.0,3880.0,sqft
86,213000.0,Meadowlands,Brightforge,1365.0,9317.0,sqft
87,174000.0,Meadowlands,Ravenstone,953.0,10331.0,sqft
88,284500.0,Meadowlands,Glimmerwood,1691.0,9660.0,sqft
89,239000.0,Meadowlands,Ravenstone,1208.0,10991.0,sqft
90,188500.0,Meadowlands,Riverbend,1028.0,5950.0,sqft
91,160000.0,Meadowlands,Shadowmere,4339.0,63887.0,sqft
92,136900.0,Meadowlands,Shadowmere,1426.0,9525.0,sqft
93,86000.0,GnomeBurough,Wolfsbane,484.0,1526.0,sqft
94,132250.0,Meadowlands,Crystalhollow,799.0,25286.0,sqft
95,174500.0,Meadowlands,Thornfield,1203.0,12000.0,sqft
96,184000.0,Meadowlands,Brightforge,1296.0,7800.0,sqft
97,128000.0,GnomeBurough,Petalbridge,1141.0,6300.0,sqft
98,137500.0,Meadowlands,Shadowmere,908.0,10012.0,sqft
99,110000.0,Meadowlands,Shadowmere,906.0,8240.0,sqft
100,220000.0,Meadowlands,Sunspire,1233.0,8814.0,sqft
101,115000.0,ArcaneMarket,Mystvale,1073.0,9000.0,sqft
102,207500.0,Meadowlands,Silverglen,1010.0,5063.0,sqft
103,110000.0,GnomeBurough,Petalbridge,946.0,10440.0,sqft
104,200624.0,Meadowlands,Thornfield,1934.0,32668.0,sqft
105,138000.0,Meadowlands,Dragonspire,909.0,8000.0,sqft
106,252000.0,Meadowlands,Glimmerwood,1834.0,10790.0,sqft
107,196500.0,Meadowlands,Sunspire,1323.0,11645.0,sqft
108,164000.0,Meadowlands,Nighthaven,996.0,11700.0,sqft
109,270000.0,Meadowlands,Mossheart,1149.0,9549.0,sqft
110,149000.0,GnomeBurough,Stormwatch,1212.0,6240.0,sqft
111,219500.0,Meadowlands,Thornfield,1338.0,13125.0,sqft
112,275000.0,Meadowlands,Silverglen,1306.0,11520.0,sqft
113,109000.0,Meadowlands,dragonspire,813.0,7922.0,sqft
114,138400.0,GnomeBurough,Stormwatch,1181.0,6240.0,sqft
115,131500.0,GnomeBurough,Sunspire,652.0,4435.0,sqft
116,263550.0,Meadowlands,Glimmerwood,1716.0,11692.0,sqft
117,110000.0,Meadowlands,Thornfield,1056.0,9260.0,sqft
118,147000.0,Meadowlands,Dragonspire,928.0,9510.0,sqft
119,257500.0,Meadowlands,Thornfield,1414.0,14442.0,sqft
120,128500.0,Meadowlands,Cloudrest,643.0,2104.0,sqft
121,348000.0,Meadowlands,Glimmerwood,1839.0,9452.0,sqft
122,190000.0,Meadowlands,Dragonspire,,9671.0,sqft
123,250000.0,GnomeBurough,Thornfield,1266.0,3811.0,sqft
124,148000.0,Meadowlands,Dragonspire,918.0,8760.0,sqft
125,129850.0,GnomeBurough,Mystvale,1231.0,7288.0,sqft
126,235000.0,Meadowlands,Windwhisper,963.0,13500.0,sqft
127,123000.0,Meadowlands,Sunspire,687.0,7200.0,sqft
128,307000.0,Meadowlands,Wyverncliff,1303.0,10084.0,sqft
129,167000.0,Meadowlands,Sunspire,1181.0,9045.0,sqft
130,168500.0,Meadowlands,Nighthaven,1585.0,9600.0,sqft
131,140000.0,Meadowlands,Dragonspire,1381.0,7056.0,sqft
132,150000.0,Meadowlands,Nighthaven,1338.0,11050.0,sqft
133,284700.0,Meadowlands,Shadowmere,2938.0,47007.0,sqft
134,131000.0,Meadowlands,Crystalhollow,693.0,8885.0,sqft
135,274970.0,Meadowlands,Shadowmere,1693.0,19690.0,sqft
136,625000.0,Meadowlands,Glimmerwood,2789.0,35760.0,sqft
137,122000.0,GnomeBurough,Petalbridge,1453.0,10120.0,sqft
138,131.9,Meadowlands,Crystalhollow,612.0,0.07689,sqft
139,178000.0,Meadowlands,Duskwood,1208.0,7837.0,sqft
140,235000.0,AetherIsles,Wyverncliff,1393.0,8470.0,sqft
141,200000.0,Meadowlands,Sunspire,992.0,6762.0,sqft
142,91000.0,GnomeBurough,Wolfsbane,759.0,1596.0,sqft
143,335000.0,Meadowlands,Thornfield,,17500.0,sqft
144,128500.0,Meadowlands,Sunspire,746.0,9920.0,sqft
145,213000.0,Meadowlands,Sunspire,1141.0,8400.0,sqft
146,121000.0,Meadowlands,Dragonspire,719.0,9888.0,sqft
147,160000.0,Meadowlands,Crystalhollow,866.0,17400.0,sqft
148,264132.0,Meadowlands,Wyverncliff,1158.0,14587.0,sqft
149,611657.0,Meadowlands,Silverglen,1818.0,12919.0,sqft
150,175000.0,Meadowlands,Ravenstone,1086.0,11457.0,sqft
151,284000.0,Meadowlands,Silverglen,1573.0,10625.0,sqft
152,160000.0,Meadowlands,Stormhold,1137.0,7000.0,sqft
153,220000.0,GnomeBurough,Petalbridge,1912.0,33120.0,sqft
154,128000.0,Meadowlands,Emberfall,756.0,9100.0,sqft
155,233000.0,Meadowlands,Brightforge,1603.0,10142.0,sqft
156,336000.0,Meadowlands,Glimmerwood,2009.0,12203.0,sqft
157,171000.0,Meadowlands,Emberfall,1308.0,16647.0,sqft
158,136905.0,Meadowlands,Nighthaven,1292.0,11500.0,sqft
159,127500.0,Meadowlands,Shadowmere,1299.0,915.559065,sqm
160,369900.0,Meadowlands,Ravenstone,1559.0,11443.0,sqft
161,214000.0,Meadowlands,Silverglen,1180.0,10171.0,sqft
162,108000.0,Meadowlands,Emberfall,729.0,8978.0,sqft
163,183900.0,AetherIsles,Wyverncliff,1116.0,3735.0,sqft
164,240000.0,Meadowlands,Duskwood,1284.0,14859.0,sqft
165,228500.0,Meadowlands,Brightforge,1524.0,11287.0,sqft
166,213000.0,Meadowlands,Crystalhollow,1399.0,11050.0,sqft
167,119164.0,GnomeBurough,Petalbridge,1273.0,7628.0,sqft
168,176500.0,Meadowlands,Duskwood,1255.0,9084.0,sqft
169,140000.0,Meadowlands,Dragonspire,856.0,9900.0,sqft
170,150000.0,Meadowlands,Emberfall,1246.0,9991.0,sqft
171,158000.0,Meadowlands,Emberfall,891.0,11553.0,sqft
172,153500.0,GnomeBurough,Crystalhollow,1028.0,4500.0,sqft
173,117000.0,Meadowlands,Petalbridge,640.0,5400.0,sqft
174,230000.0,Meadowlands,Sunspire,1380.0,9742.0,sqft
175,188500.0,Meadowlands,Duskwood,860.0,16219.0,sqft
176,250000.0,Meadowlands,Sunspire,1239.0,11664.0,sqft
177,155835.0,Meadowlands,Sunspire,1119.0,11103.0,sqft
178,134450.0,Meadowlands,Dragonspire,950.0,10011.0,sqft
179,438780.0,Meadowlands,Riverbend,2265.0,13682.0,sqft
180,228500.0,Meadowlands,Crystalhollow,1299.0,9990.0,sqft
181,301000.0,Meadowlands,Brightforge,2099.0,10380.0,sqft
182,170000.0,Meadowlands,Ravenstone,1021.0,16905.0,sqft
183,183850.0,Meadowlands,Shadowmere,3919.0,39290.0,sqft
184,184500.0,Meadowlands,Duskwood,1056.0,13300.0,sqft
185,108538.0,Meadowlands,Dragonspire,927.0,10725.0,sqft
186,237000.0,Meadowlands,Sunspire,1562.0,9473.0,sqft
187,137000.0,Meadowlands,Dragonspire,775.0,11425.0,sqft
188,65000.0,GnomeBurough,Petalbridge,1221.0,12205.0,sqft
189,178900.0,Meadowlands,Dragonspire,1161.0,9680.0,sqft
190,337000.0,Meadowlands,Glimmerwood,1819.0,9430.0,sqft
191,265979.0,GnomeBurough,Petalbridge,2030.0,11700.0,sqft
192,176400.0,AetherIsles,Wyverncliff,,3628.0,sqft
193,155000.0,Meadowlands,Dragonspire,1211.0,10170.0,sqft
194,260000.0,Meadowlands,Glimmerwood,2035.0,9900.0,sqft
195,138000.0,Meadowlands,Sunspire,761.0,8072.0,sqft
196,214000.0,Meadowlands,Dragonspire,1138.0,8197.0,sqft
197,90000.0,Meadowlands,Emberfall,996.0,10791.0,sqft
197,90000.0,Meadowlands,Emberfall,996.0,10791.0,sqft
198,72000.0,GnomeBurough,Mystvale,629.0,9000.0,sqft
199,235000.0,Meadowlands,Sunspire,1434.0,10316.0,sqft
200,215000.0,Meadowlands,Dreamweaver,,3196.0,sqft
201,163000.0,Meadowlands,Emberfall,1107.0,11227.0,sqft
202,143000.0,GnomeBurough,Petalbridge,871.0,9836.0,sqft
202,143000.0,GnomeBurough,Petalbridge,871.0,9836.0,sqft
203,228950.0,Meadowlands,Ravenstone,1373.0,164660.0,sqft
204,117600.0,Meadowlands,Dragonspire,687.0,8680.0,sqft
205,465000.0,Meadowlands,Silverglen,1596.0,13891.0,sqft
206,197900.0,Meadowlands,Sunspire,1368.0,10400.0,sqft
207,165000.0,Meadowlands,Duskwood,1130.0,8139.0,sqft
208,185000.0,Meadowlands,Nighthaven,1238.0,11358.0,sqft
209,128500.0,Meadowlands,Dragonspire,732.0,8300.0,sqft
210,165000.0,Meadowlands,Thornfield,1155.0,10592.0,sqft
211,110000.0,GnomeBurough,Petalbridge,987.0,3500.0,sqft
212,297000.0,Meadowlands,Sunspire,1321.0,10637.0,sqft
213,149500.0,GnomeBurough,Petalbridge,1509.0,8094.0,sqft
214,157000.0,Meadowlands,Dragonspire,1103.0,10200.0,sqft
215,136500.0,GnomeBurough,Sunspire,652.0,4435.0,sqft
216,392000.0,Meadowlands,Riverbend,1091.0,8089.0,sqft
217,185000.0,Meadowlands,Shadowmere,1287.0,21780.0,sqft
218,136000.0,GnomeBurough,Petalbridge,1943.0,8520.0,sqft
219,150000.0,GnomeBurough,Petalbridge,1204.0,9600.0,sqft
220,37900.0,GnomeBurough,Petalbridge,744.0,5925.0,sqft
221,144000.0,Meadowlands,Dragonspire,1172.0,11344.0,sqft
221,144000.0,Meadowlands,Dragonspire,1172.0,11344.0,sqft
222,239900.0,Meadowlands,Sunspire,1129.0,9178.0,sqft
223,224500.0,Meadowlands,Brightforge,1107.0,9069.0,sqft
224,135000.0,Meadowlands,Dragonspire,1599.0,11606.0,sqft
225,151400.0,GnomeBurough,Wolfsbane,,3964.0,sqft
226,146000.0,Meadowlands,Shadowmere,1038.0,9375.0,sqft
227,130500.0,Meadowlands,Emberfall,1137.0,13517.0,sqft
228,124000.0,Meadowlands,Dragonspire,1218.0,8944.0,sqft
229,178000.0,GnomeBurough,Petalbridge,1262.0,9600.0,sqft
230,137000.0,Meadowlands,Emberfall,719.0,13526.0,sqft
231,133000.0,Meadowlands,Emberfall,799.0,7500.0,sqft
232,202000.0,Meadowlands,Duskwood,1366.0,9783.0,sqft
233,207000.0,Meadowlands,Brightforge,1440.0,8883.0,sqft
234,157000.0,GnomeBurough,Stormwatch,1151.0,6000.0,sqft
235,159000.0,Meadowlands,Dragonspire,966.0,8000.0,sqft
236,134500.0,Meadowlands,Shadowmere,976.0,9360.0,sqft
237,189500.0,Meadowlands,Duskwood,1253.0,7984.0,sqft
238,421250.0,Meadowlands,Silverglen,2037.0,16900.0,sqft
239,119200.0,Meadowlands,Dragonspire,832.0,11664.0,sqft
240,280000.0,Meadowlands,Silverglen,1213.0,7841.0,sqft
241,100000.0,GnomeBurough,Mystvale,863.0,6060.0,sqft
242,130000.0,Meadowlands,Dragonspire,664.0,662.39839,sqm
243,115000.0,GnomeBurough,Stormwatch,765.0,6120.0,sqft
244,164500.0,AetherIsles,Wyverncliff,,3951.0,sqft
245,155000.0,Meadowlands,Emberfall,1386.0,13125.0,sqft
246,147983.0,Meadowlands,Brightforge,1713.0,7018.0,sqft
247,105900.0,GnomeBurough,Petalbridge,553.0,8520.0,sqft
248,302000.0,Meadowlands,Windwhisper,1403.0,115149.0,sqft
249,210000.0,Meadowlands,Sunspire,1467.0,8750.0,sqft
250,183500.0,Meadowlands,Duskwood,1173.0,8238.0,sqft
251,145000.0,Meadowlands,Dragonspire,1010.0,8400.0,sqft
252,140000.0,GnomeBurough,Petalbridge,1033.0,5700.0,sqft
253,252678.0,AetherIsles,Wyverncliff,1424.0,8640.0,sqft
254,200000.0,AetherIsles,Wyverncliff,1303.0,8314.0,sqft
255,226000.0,Meadowlands,Sunspire,1137.0,10665.0,sqft
256,250000.0,Meadowlands,Ravenstone,,11170.0,sqft
257,275000.0,Meadowlands,Brightforge,1264.0,12800.0,sqft
258,153575.0,Meadowlands,Stormwatch,1073.0,8730.0,sqft
259,254000.0,Meadowlands,Silverglen,1018.0,6240.0,sqft
260,136000.0,Meadowlands,Dragonspire,1378.0,9000.0,sqft
261,130000.0,Meadowlands,Riverbend,926.0,3701.0,sqft
262,146000.0,Meadowlands,Brightforge,846.0,7500.0,sqft
263,240000.0,Meadowlands,Riverbend,1136.0,7380.0,sqft
264,202500.0,Meadowlands,Stormwatch,1405.0,11737.0,sqft
265,131000.0,Meadowlands,Brightforge,,-26400.0,sqft
266,145000.0,Meadowlands,Windwhisper,1323.0,10532.0,sqft
267,143000.0,Meadowlands,Dragonspire,933.0,10355.0,sqft
268,127000.0,Meadowlands,Emberfall,734.0,7742.0,sqft
269,157500.0,Meadowlands,Dragonspire,1107.0,9350.0,sqft
270,153337.0,Meadowlands,Brightforge,941.0,7018.0,sqft
271,180000.0,Meadowlands,Dragonspire,1376.0,14250.0,sqft
272,130000.0,Meadowlands,Windwhisper,1039.0,6930.0,sqft
273,133500.0,Meadowlands,Dragonspire,773.0,11050.0,sqft
274,196000.0,Meadowlands,Sunspire,1345.0,9272.0,sqft
275,118000.0,Meadowlands,Dragonspire,867.0,9000.0,sqft
276,402000.0,Meadowlands,Glimmerwood,1883.0,46589.0,sqft
277,279900.0,Meadowlands,Ravenstone,1912.0,11800.0,sqft
278,84900.0,Meadowlands,Shadowmere,492.0,8777.0,sqft
279,207000.0,Meadowlands,Sunspire,1125.0,14753.0,sqft
280,255000.0,Meadowlands,Nighthaven,1596.0,10530.0,sqft
281,145000.0,Meadowlands,Sunspire,846.0,13015.0,sqft
282,135900.0,Meadowlands,Stormhold,1319.0,5687.0,sqft
283,317500.0,Meadowlands,Silverglen,1216.0,1180.239712,sqm
284,118000.0,GnomeBurough,Starfall,759.0,156.07704,sqm
285,113000.0,Meadowlands,Shadowmere,1143.0,8741.0,sqft
286,221370.0,Meadowlands,Silverglen,1018.0,6240.0,sqft
287,290000.0,Meadowlands,Silverglen,1846.0,13262.0,sqft
288,119500.0,Meadowlands,Dragonspire,730.0,9758.0,sqft
289,359900.0,Meadowlands,Ravenstone,1413.0,11577.0,sqft
290,169000.0,Meadowlands,Dragonspire,1382.0,11765.0,sqft
291,129500.0,GnomeBurough,Petalbridge,1583.0,9600.0,sqft
292,221800.0,Meadowlands,Sunspire,964.0,10324.0,sqft
293,231713.0,Meadowlands,Ravenstone,1299.0,8368.0,sqft
294,150000.0,Meadowlands,Mossheart,2264.0,24572.0,sqft
295,177500.0,Meadowlands,Sunspire,923.0,11249.0,sqft
296,350000.0,Meadowlands,Silverglen,1710.0,8834.0,sqft
297,148000.0,Meadowlands,Dragonspire,903.0,7635.0,sqft
298,140000.0,Meadowlands,Stormhold,1226.0,8400.0,sqft
299,167240.0,Meadowlands,Dreamweaver,,3010.0,sqft
300,108000.0,Meadowlands,Shadowmere,1161.0,9084.0,sqft
301,220000.0,Meadowlands,Thornfield,1531.0,11275.0,sqft
302,127000.0,Meadowlands,Dragonspire,1159.0,734.8627299999999,sqm
303,104000.0,Meadowlands,Thornfield,839.0,7801.0,sqft
304,133500.0,Meadowlands,Sunspire,664.0,15523.0,sqft
305,215000.0,Meadowlands,Crystalhollow,1070.0,10000.0,sqft
306,335000.0,Meadowlands,Silverglen,1340.0,10367.0,sqft
307,245000.0,Meadowlands,Windwhisper,1172.0,20270.0,sqft
308,94750.0,Meadowlands,Shadowmere,738.0,10921.0,sqft
309,335000.0,Meadowlands,Silverglen,,11308.0,sqft
310,185000.0,Meadowlands,Emberfall,913.0,14175.0,sqft
311,175000.0,Meadowlands,Nighthaven,866.0,15611.0,sqft
312,88000.0,GnomeBurough,Starfall,839.0,1680.0,sqft
313,183000.0,Meadowlands,Dragonspire,1363.0,10800.0,sqft
314,82000.0,Meadowlands,Shadowmere,726.0,10206.0,sqft
315,82000.0,GnomeBurough,Mystvale,415.0,8154.0,sqft
316,68500.0,GnomeBurough,Stormwatch,399.0,6324.0,sqft
317,171000.0,Meadowlands,Crystalhollow,1506.0,11070.0,sqft
318,236500.0,Meadowlands,Riverbend,1243.0,5389.0,sqft
319,192100.0,Meadowlands,Dragonspire,1423.0,11727.0,sqft
320,198600.0,AetherIsles,Wyverncliff,983.0,8640.0,sqft
321,182000.0,Meadowlands,Windwhisper,1170.0,11075.0,sqft
322,218689.0,Meadowlands,Ravenstone,1239.0,12018.0,sqft
323,230500.0,Meadowlands,Duskwood,1489.0,11194.0,sqft
324,165000.0,AetherIsles,Wyverncliff,1063.0,2651.0,sqft
325,146000.0,Meadowlands,Dragonspire,923.0,9230.0,sqft
326,193000.0,Meadowlands,Sunspire,1376.0,9179.0,sqft
327,107000.0,GnomeBurough,Petalbridge,1021.0,9906.0,sqft
328,148325.0,Meadowlands,Brightforge,945.0,7040.0,sqft
329,179540.0,Meadowlands,Duskwood,1119.0,9018.0,sqft
330,140500.0,Meadowlands,Dragonspire,,14357.0,sqft
331,274725.0,Meadowlands,Duskwood,1554.0,23257.0,sqft
332,153000.0,Meadowlands,Dragonspire,1063.0,8750.0,sqft
333,129900.0,Meadowlands,Dragonspire,923.0,9600.0,sqft
334,148000.0,Meadowlands,Crystalhollow,930.0,11080.0,sqft
335,137900.0,Meadowlands,Emberfall,686.0,7800.0,sqft
336,158000.0,Meadowlands,Nighthaven,1629.0,10448.0,sqft
337,167900.0,Meadowlands,Nighthaven,858.0,10140.0,sqft
338,132000.0,Meadowlands,Emberfall,813.0,7420.0,sqft
339,195000.0,Meadowlands,Nighthaven,1561.0,12046.0,sqft
340,119000.0,GnomeBurough,Stormwatch,695.0,6000.0,sqft
341,200000.0,GnomeBurough,Oakenshade,784.0,3907.0,sqft
342,260000.0,Meadowlands,Riverbend,1176.0,16158.0,sqft
343,300000.0,Meadowlands,Crystalhollow,1563.0,23730.0,sqft
344,119900.0,GnomeBurough,Petalbridge,859.0,7800.0,sqft
345,156500.0,Meadowlands,Petalbridge,1299.0,7200.0,sqft
346,149500.0,AetherIsles,wyverncliff,923.0,2544.0,sqft
347,187500.0,Meadowlands,Dragonspire,1117.0,10573.0,sqft
348,202500.0,GnomeBurough,Mystvale,1764.0,13200.0,sqft
349,134900.0,Meadowlands,Sunspire,799.0,8982.0,sqft
350,149900.0,Meadowlands,Sunspire,687.0,9800.0,sqft
351,105000.0,GnomeBurough,Stormwatch,1032.0,6000.0,sqft
352,162500.0,Meadowlands,Nighthaven,832.0,8723.0,sqft
353,238000.0,Meadowlands,Thornfield,1321.0,7230.0,sqft
354,479069.0,Meadowlands,Silverglen,,13891.0,sqft
355,226000.0,AetherIsles,Wyverncliff,1483.0,7050.0,sqft
356,226700.0,AetherIsles,Wyverncliff,1359.0,9803.0,sqft
357,120000.0,Meadowlands,Emberfall,825.0,9981.0,sqft
358,267300.0,Meadowlands,Ravenstone,1203.0,8298.0,sqft
359,142500.0,Meadowlands,Crystalhollow,771.0,7937.0,sqft
360,171000.0,Meadowlands,Dragonspire,1319.0,9247.0,sqft
360,171000.0,Meadowlands,Dragonspire,1319.0,9247.0,sqft
361,108000.0,Meadowlands,Shadowmere,,8777.0,sqft
362,148000.0,Meadowlands,Shadowmere,856.0,7917.0,sqft
363,200000.0,Meadowlands,Silverglen,1080.0,3242.0,sqft
364,270000.0,Meadowlands,Sunspire,,11354.0,sqft
365,163000.0,Meadowlands,Dragonspire,969.0,9120.0,sqft
366,133000.0,Meadowlands,Dragonspire,703.0,7920.0,sqft
367,246990.0,Meadowlands,Dreamweaver,1162.0,2938.0,sqft
368,168000.0,Meadowlands,Duskwood,1099.0,7848.0,sqft
369,290000.0,Meadowlands,Mossheart,1285.0,16280.0,sqft
370,269500.0,Meadowlands,Ravenstone,1513.0,12003.0,sqft
371,184900.0,GnomeBurough,Petalbridge,1363.0,10337.0,sqft
372,172000.0,Meadowlands,Nighthaven,833.0,-9927.0,sqft
373,109900.0,GnomeBurough,Mystvale,919.0,4800.0,sqft
374,85000.0,GnomeBurough,Mystvale,493.0,653.10809,sqm
375,107000.0,Meadowlands,Shadowmere,859.0,7819.0,sqft
376,130000.0,CitadelQuarter,Stormhold,1510.0,8525.0,sqft
377,161500.0,Meadowlands,Windwhisper,1375.0,11250.0,sqft
378,145000.0,CitadelQuarter,Thornfield,1506.0,7136.0,sqft
379,139000.0,GnomeBurough,Mystvale,1259.0,9060.0,sqft
380,250000.0,Meadowlands,glimmerwood,1690.0,14260.0,sqft
381,178000.0,Meadowlands,Dragonspire,867.0,11380.0,sqft
382,245000.0,Meadowlands,Wyverncliff,1202.0,10206.0,sqft
383,150000.0,Meadowlands,Dragonspire,1221.0,7200.0,sqft
384,109500.0,GnomeBurough,Petalbridge,719.0,4485.0,sqft
385,130500.0,Meadowlands,Crystalhollow,627.0,6600.0,sqft
385,130500.0,Meadowlands,Crystalhollow,627.0,6600.0,sqft
386,293200.0,Meadowlands,Sunspire,1232.0,10200.0,sqft
387,80000.0,GnomeBurough,Petalbridge,662.0,7404.0,sqft
388,500000.0,Meadowlands,Silverglen,2073.0,14300.0,sqft
389,103600.0,CitadelQuarter,Shadowmere,1053.0,6629.0,sqft
390,318000.0,Meadowlands,Sunspire,1521.0,10389.0,sqft
391,125000.0,GnomeBurough,Petalbridge,1132.0,9600.0,sqft
392,85500.0,Meadowlands,Stormwatch,668.0,5900.0,sqft
393,46500.0,GnomeBurough,Petalbridge,313.0,7311.0,sqft
394,244600.0,Meadowlands,Wyverncliff,1129.0,9612.0,sqft
395,55000.0,GnomeBurough,Mystvale,,5600.0,sqft
396,133000.0,CitadelQuarter,Dragonspire,589.0,4058.0,sqft
397,194000.0,Meadowlands,Sunspire,938.0,7406.0,sqft
398,132500.0,GnomeBurough,Stormwatch,,6120.0,sqft
