DI,StructuralIntegrity,ExteriorCharm
693,5,Gleaming
694,5,Common
695,6,Common
696,6,Common
697,5,Common
698,5,Gleaming
699,8,Common
700,6,Common
701,3,Common
702,5,Common
703,7,Common
704,5,Gleaming
705,5,Common
706,5,Common
707,5,Common
708,5,Gleaming
709,7,Common
710,6,Common
711,8,Common
712,5,Common
713,5,Common
714,6,Common
715,6,Common
716,7,Common
717,5,Gleaming
718,5,Common
719,5,Common
720,4,Common
721,5,Gleaming
722,7,Common
723,4,Gleaming
724,7,Common
725,5,Gleaming
726,4,Modest
726,4,Modest
727,5,Common
728,5,Gleaming
729,5,Common
730,5,Common
731,6,Gleaming
732,5,Gleaming
733,5,Common
734,7,Common
735,5,Common
736,5,Common
737,5,Common
738,5,Common
739,5,Gleaming
740,6,Common
741,5,Common
742,6,Common
743,5,Gleaming
744,6,Common
745,5,Gleaming
746,6,Common
747,6,Common
748,5,Common
749,9,Common
750,5,Common
751,8,Common
752,5,Gleaming
753,5,Gleaming
754,5,Gleaming
755,7,Modest
756,5,Gleaming
757,6,Common
758,6,Common
759,5,Gleaming
760,5,Common
761,4,Common
762,5,Gleaming
763,6,Common
764,5,Common
765,5,Common
766,5,Gleaming
767,5,Gleaming
768,6,Common
769,5,Gleaming
770,6,Common
771,5,Common
772,4,Common
773,5,Common
774,5,Gleaming
775,6,Common
776,5,Gleaming
777,5,Gleaming
778,6,Common
779,5,Gleaming
780,5,Common
781,6,Common
782,5,Gleaming
783,5,Gleaming
784,8,Common
785,4,Common
786,5,Gleaming
787,5,Gleaming
788,7,Common
789,7,Common
790,6,Common
791,5,Common
792,5,Gleaming
793,6,Common
794,6,Common
795,5,Gleaming
796,4,Common
797,5,Gleaming
798,5,Gleaming
799,6,Common
800,7,Gleaming
801,6,Common
802,5,Common
803,7,Common
804,5,Common
805,5,Enchanting
806,5,Gleaming
807,9,Enchanting
808,7,Common
809,5,Gleaming
810,5,Common
811,7,Common
812,6,Common
813,7,Common
814,5,Common
815,7,Common
816,6,Common
817,5,Common
818,5,Gleaming
819,5,Common
820,5,Enchanting
821,4,Common
822,5,Enchanting
823,5,Enchanting
824,6,Common
825,7,Common
826,5,Common
827,4,Common
828,5,Common
829,5,Gleaming
830,5,Gleaming
831,6,Common
832,5,Common
833,5,Gleaming
834,7,Common
835,5,Enchanting
836,5,Gleaming
837,5,Gleaming
838,5,Common
839,5,Gleaming
840,8,Common
841,9,Common
842,5,Common
843,5,Gleaming
844,5,Common
845,7,Common
846,7,Gleaming
847,6,Common
848,5,Common
849,5,Gleaming
850,5,Gleaming
851,5,Common
852,6,Common
853,8,Common
854,5,Common
855,5,Gleaming
856,5,Gleaming
857,7,Common
858,5,Gleaming
859,5,Common
860,5,Gleaming
861,5,Common
862,5,Common
863,6,Common
864,6,Common
865,5,Common
866,5,Gleaming
867,6,Common
868,6,Common
869,5,Common
870,6,Common
871,6,Common
872,6,Common
873,7,Common
874,5,Gleaming
875,5,Gleaming
876,6,Common
877,5,Common
878,6,Common
879,5,Gleaming
880,6,Common
881,7,Common
882,6,Common
883,6,Common
884,7,Common
885,8,Gleaming
886,7,Common
887,6,Common
888,5,Gleaming
889,5,Gleaming
890,5,Enchanting
891,5,Common
892,7,Common
893,5,Gleaming
894,6,Common
895,5,Gleaming
896,6,Common
897,5,Gleaming
898,6,Common
899,5,Gleaming
900,5,Common
901,6,Common
902,5,Common
903,5,Common
904,5,Gleaming
905,5,Common
906,5,Gleaming
907,3,Common
908,5,Common
909,8,Common
910,5,Gleaming
911,6,Common
912,8,Common
913,4,Common
914,5,Gleaming
915,5,Enchanting
916,5,Gleaming
917,7,Common
918,5,Enchanting
919,5,Gleaming
920,9,Gleaming
921,5,Gleaming
922,8,Gleaming
923,5,Enchanting
924,6,Common
925,4,Gleaming
926,7,Common
927,5,Common
928,5,Gleaming
929,5,Common
930,5,Common
931,6,Common
932,5,Gleaming
933,7,Common
934,6,Common
935,5,Gleaming
936,8,Common
937,7,Gleaming
938,5,Common
939,5,Common
940,5,Common
941,5,Gleaming
942,8,Gleaming
943,5,Common
944,5,Common
945,6,Common
946,6,Common
947,5,Gleaming
948,5,Gleaming
949,8,Common
950,5,Common
951,5,Gleaming
952,4,Common
953,5,Gleaming
954,5,Gleaming
955,5,Common
956,5,Gleaming
957,5,Gleaming
958,5,Common
959,5,Gleaming
960,7,Common
961,4,Common
962,5,Common
963,5,Common
964,5,Common
965,5,Common
966,5,Gleaming
967,5,Common
968,5,Gleaming
969,6,Common
970,5,Enchanting
971,5,Gleaming
972,6,Common
973,5,Gleaming
974,5,Gleaming
975,7,Common
976,7,Common
977,5,Gleaming
978,9,Common
979,8,Common
980,5,Gleaming
981,5,Common
982,5,Gleaming
983,5,Gleaming
984,6,Common
985,5,Common
986,5,Gleaming
987,5,Common
988,5,Gleaming
989,5,Gleaming
990,5,Gleaming
991,5,Gleaming
992,5,Common
993,6,Common
994,7,Common
995,5,Common
996,5,Gleaming
997,5,Common
998,5,Common
999,6,Common
1000,5,Common
1001,7,Common
1002,5,Gleaming
1003,5,Gleaming
1004,6,Common
1005,6,Common
1006,5,Gleaming
1007,5,Common
1008,7,Gleaming
1009,6,Common
1010,5,Common
1011,3,Common
1012,6,Common
1013,7,Gleaming
1014,5,Enchanting
1015,5,Common
1016,5,Common
1016,5,Common
1017,6,Common
1018,5,Common
1019,5,Common
1020,5,Common
1021,7,Common
1022,6,Common
1023,7,Gleaming
1024,7,Common
1025,5,Gleaming
1026,2,Common
1027,5,Common
1028,5,Common
1029,6,Common
1030,5,Gleaming
1031,3,Common
1032,5,Gleaming
1033,6,Common
1034,2,Common
1035,5,Gleaming
1036,5,Gleaming
1037,6,Common
1038,5,Common
1039,8,Common
1040,5,Gleaming
1041,6,Gleaming
1042,5,Gleaming
1043,7,Common
1044,5,Common
1045,5,Gleaming
1046,5,Gleaming
1047,8,Common
1048,6,Common
1049,7,Common
1050,5,Gleaming
1051,5,Common
1052,6,Common
1053,8,Gleaming
1054,5,Gleaming
1055,6,Common
1056,5,Common
1057,5,Common
1058,5,Gleaming
1059,5,Common
1060,5,Common
1061,8,Common
1062,7,Common
1063,5,Gleaming
1064,6,Common
1065,7,Common
1066,5,Common
1067,5,Gleaming
1068,5,Common
1069,5,Common
1070,5,Gleaming
1071,7,Common
1072,6,Common
1073,8,Common
1074,4,Modest
1075,5,Common
1076,5,Common
1077,4,Common
1078,5,Enchanting
1079,4,Common
1080,5,Common
1081,5,Common
1082,5,Common
1083,7,Common
1084,5,Enchanting
1085,5,Gleaming
1086,5,Enchanting
1087,5,Common
1088,7,Common
1089,5,Common
1090,6,Common
1091,3,Common
1092,5,Gleaming
1093,5,Common
1094,5,Common
1095,7,Common
1096,5,Gleaming
1097,5,Common
1098,7,Gleaming
1099,5,Enchanting
1100,5,Common
1101,6,Gleaming
1102,5,Common
1103,5,Gleaming
1104,5,Gleaming
1105,5,Gleaming
1106,5,Common
1107,5,Enchanting
1108,5,Gleaming
1109,5,Gleaming
1110,4,Common
1111,5,Gleaming
1112,8,Common
1113,5,Gleaming
1114,6,Common
1115,4,Gleaming
1116,5,Common
1117,5,Gleaming
1118,5,Gleaming
1119,5,Common
1120,8,Common
1121,5,Common
1122,5,Gleaming
1123,5,Gleaming
1124,5,Gleaming
1125,5,Gleaming
1126,4,Common
1126,4,Common
1127,6,Common
1128,5,Gleaming
1129,8,Common
1130,6,Common
1131,7,Common
1132,6,Common
1133,5,Gleaming
1134,5,Gleaming
1135,5,Gleaming
1136,5,Common
1137,7,Common
1138,4,Common
1139,6,Common
1140,5,Gleaming
1141,6,Common
1142,5,Common
1143,7,Common
1144,5,Gleaming
1145,4,Common
1146,8,Common
1147,7,Common
1147,7,Common
1148,6,Common
1149,5,Common
1150,7,Common
1151,5,Gleaming
1152,6,Common
1153,7,Common
1154,6,Common
1155,5,Common
1155,5,Common
1156,6,Common
1157,6,Common
1158,5,Enchanting
1159,5,Gleaming
1160,9,Enchanting
1161,8,Gleaming
1162,3,Common
1163,5,Gleaming
1164,5,Gleaming
1165,5,Common
1166,5,Gleaming
1167,5,Gleaming
1168,6,Common
1169,7,Gleaming
1170,5,Gleaming
1171,5,Gleaming
1172,5,Common
1173,5,Common
1174,5,Gleaming
1175,7,Common
1176,7,Common
1177,7,Common
1178,5,Common
1179,5,Common
1180,5,Gleaming
1181,6,Common
1182,5,Common
1183,5,Common
1184,6,Common
1185,5,Gleaming
1186,6,Common
1187,5,Common
1188,5,Common
1189,3,Modest
1190,5,Common
1191,6,Common
1192,3,Common
1193,6,Common
1194,5,Gleaming
1195,5,Gleaming
1196,5,Common
1197,5,Gleaming
1198,9,Gleaming
1199,5,Common
1200,5,Common
1201,7,Common
1202,5,Gleaming
1203,5,Common
1204,5,Gleaming
1205,4,Common
1206,8,Common
1207,8,Common
1208,4,Common
1209,6,Gleaming
1210,5,Gleaming
1211,7,Common
1212,7,Common
1213,5,Gleaming
1214,7,Common
1215,5,Gleaming
1215,5,Gleaming
1216,5,Common
1217,5,Gleaming
1218,6,Gleaming
1219,7,Common
1220,5,Common
1221,5,Common
1222,5,Common
1223,5,Gleaming
1224,8,Common
1225,5,Gleaming
1226,7,Common
1227,5,Gleaming
1228,5,Common
1229,5,Common
1230,5,Gleaming
1231,8,Common
1232,5,Common
1233,5,Common
1234,5,Common
1235,6,Common
1236,8,Gleaming
1237,7,Gleaming
1238,5,Common
1239,7,Common
1240,5,Enchanting
1241,7,Common
1241,7,Common
1242,5,Common
1243,5,Gleaming
1244,5,Gleaming
1245,8,Common
1246,5,Common
1247,5,Common
1248,7,Gleaming
1249,7,Common
1250,3,Common
1251,7,Common
1252,7,Common
1253,7,Common
1254,7,Common
1255,7,Common
1256,7,Common
1257,5,Gleaming
1258,5,Common
1259,5,Common
1260,7,Gleaming
1261,6,Common
1262,8,Common
1263,4,Common
1264,7,Common
1265,4,Common
1266,5,Gleaming
1267,5,Common
1268,5,Gleaming
1269,7,Common
1270,5,Common
1271,5,Gleaming
1272,3,Common
1273,5,Gleaming
1274,5,Gleaming
1275,5,Gleaming
1276,6,Common
1277,5,Gleaming
1278,5,Gleaming
1279,5,Common
1280,6,Common
1281,6,Common
1282,6,Gleaming
1283,5,Common
1284,5,Common
1285,7,Common
1286,5,Gleaming
1287,7,Common
1288,6,Common
1289,3,Modest
1290,7,Gleaming
1291,5,Gleaming
1292,7,Common
1293,6,Common
1294,7,Common
1295,7,Common
1296,5,Common
1297,5,Gleaming
1298,5,Gleaming
1299,5,Common
1300,5,Gleaming
1301,5,Gleaming
1302,6,Common
1303,8,Common
1304,5,Gleaming
1305,5,Gleaming
1306,6,Common
1307,5,Gleaming
1308,5,Enchanting
1309,4,Common
1310,6,Common
1311,6,Common
1312,5,Gleaming
1313,5,Gleaming
1314,6,Gleaming
1315,6,Common
1316,5,Gleaming
1317,7,Gleaming
1318,8,Common
1319,7,Common
1320,5,Gleaming
1321,5,Common
1322,8,Common
1323,7,Common
1324,6,Common
1325,7,Common
1326,5,Gleaming
1327,8,Common
1328,6,Common
1329,5,Common
1330,6,Common
1331,5,Gleaming
1332,3,Common
1333,5,Gleaming
1334,5,Common
1335,5,Common
1336,4,Common
1337,5,Common
1338,5,Gleaming
1339,8,Common
1340,5,Gleaming
1341,5,Common
1342,6,Common
1343,7,Common
1344,5,Gleaming
1345,5,Gleaming
1346,6,Common
1347,5,Gleaming
1348,5,Common
1349,4,Gleaming
1350,5,Gleaming
1351,5,Enchanting
1352,7,Common
1353,5,Gleaming
1354,7,Common
1355,5,Gleaming
1356,7,Common
1357,6,Common
1358,5,Common
1359,3,Common
1360,5,Gleaming
1361,5,Gleaming
1362,5,Gleaming
1363,5,Gleaming
1364,4,Common
1365,5,Gleaming
1366,5,Gleaming
1367,5,Enchanting
1368,6,Gleaming
1369,5,Enchanting
1370,7,Common
1371,6,Common
1372,5,Gleaming
1372,5,Gleaming
1373,6,Common
1374,7,Gleaming
1375,5,Gleaming
1376,7,Common
1377,5,Gleaming
1378,6,Common
1379,2,Gleaming
1380,5,Gleaming
1381,5,Gleaming
1382,6,Common
1383,5,Common
1384,5,Common
1385,6,Common
1386,6,Common
1387,5,Common
1388,5,Gleaming
1389,3,Common
1390,5,Enchanting
1391,5,Common
1392,4,Common
1393,3,Modest
1394,6,Common
1395,5,Gleaming
1396,5,Gleaming
1397,5,Common
1398,5,Common
1399,5,Common
1400,7,Common
1401,5,Common
1402,6,Common
1403,8,Gleaming
1404,5,Common
1405,6,Common
1406,7,Common
1407,9,Common
1408,5,Common
1409,5,Gleaming
1410,5,Gleaming
1411,8,Gleaming
1412,5,Gleaming
1413,6,Common
1414,5,Gleaming
1415,5,Gleaming
1416,6,Common
1417,4,Common
1418,5,Gleaming
1419,4,Common
1420,5,Common
1421,6,Common
1422,7,Common
1423,7,Common
1424,4,Common
1425,5,Common
1426,7,Common
1427,6,Common
1428,5,Gleaming
1429,7,Common
1430,7,Common
1431,5,Gleaming
1432,5,Common
1433,5,Common
1434,5,Enchanting
1435,5,Gleaming
1436,5,Gleaming
1437,5,Gleaming
1438,5,Common
1439,5,Gleaming
1440,2,Common
1441,5,Common
1442,5,Enchanting
1443,3,Common
1444,5,Gleaming
1445,5,Gleaming
1446,6,Common
1447,5,Common
1448,7,Common
1449,7,Common
1450,5,Common
1451,5,Common
1452,5,Common
1453,8,Common
1454,5,Common
1455,6,Common
1456,6,Common
1457,5,Gleaming
1458,5,Common
1459,5,Common
1460,7,Gleaming
1461,5,Enchanting
1462,5,Gleaming
1463,7,Common
1464,6,Common
1465,5,Common
1466,8,Common
1467,5,Common
1468,3,Common
1469,5,Gleaming
1470,5,Gleaming
1471,7,Common
1472,6,Common
1473,7,Common
1474,8,Gleaming
1475,7,Common
1476,8,Common
1477,5,Gleaming
1478,7,Gleaming
1479,5,Common
1480,5,Common
1481,5,Gleaming
1482,9,Enchanting
1483,4,Common
1484,5,Gleaming
1485,5,Common
1486,5,Gleaming
1487,5,Common
1488,5,Common
1489,5,Common
1490,5,Common
1491,6,Common
1492,5,Enchanting
1493,7,Common
1494,4,Common
1495,5,Gleaming
1496,5,Common
1497,8,Common
1498,5,Common
1499,5,Common
1500,5,Gleaming
1501,6,Common
1502,5,Gleaming
1503,5,Common
1504,7,Common
1505,5,Gleaming
1506,5,Common
1507,5,Enchanting
1508,5,Gleaming
1509,5,Common
1510,5,Common
1511,8,Common
1512,8,Common
1513,5,Gleaming
1514,5,Enchanting
1515,5,Common
1516,8,Common
1517,5,Gleaming
1518,3,Common
1519,5,Gleaming
1520,6,Common
1521,5,Gleaming
1522,4,Common
1523,6,Common
1524,5,Enchanting
1525,5,Gleaming
1526,6,Common
1527,5,Gleaming
1528,5,Common
1529,5,Common
1530,5,Common
1531,5,Gleaming
1532,5,Common
1533,5,Gleaming
1534,6,Common
1535,7,Common
1536,5,Enchanting
1537,5,Gleaming
1538,5,Common
1539,6,Common
1540,7,Common
1541,6,Common
1542,6,Common
1543,7,Common
1544,5,Gleaming
1545,7,Common
1546,5,Gleaming
1547,3,Common
1548,5,Enchanting
1549,5,Gleaming
1550,5,Gleaming
1551,5,Common
1552,5,Gleaming
1553,5,Gleaming
1554,5,Gleaming
1555,5,Gleaming
1556,5,Common
1557,6,Common
1558,5,Gleaming
1559,6,Common
1560,5,Common
1561,6,Common
1562,7,Common
1563,7,Common
1564,6,Common
1565,3,Common
1566,5,Common
1567,7,Common
1568,6,Common
1569,5,Common
1570,5,Enchanting
1571,5,Common
1572,8,Gleaming
1573,8,Common
1574,5,Gleaming
1575,7,Common
1576,7,Common
1577,6,Common
1578,5,Common
1579,5,Gleaming
1580,6,Common
1581,5,Gleaming
1582,5,Gleaming
1583,5,Gleaming
1584,5,Gleaming
1585,5,Common
1586,5,Common
1587,4,Common
1588,8,Gleaming
1589,9,Common
1590,5,Common
1591,5,Common
1592,6,Common
1593,7,Common
1594,5,Common
1595,7,Gleaming
1596,4,Common
1597,5,Common
1598,9,Common
1599,6,Common
1600,5,Gleaming
1601,6,Common
1602,6,Common
1603,8,Gleaming
1604,6,Common
1605,5,Gleaming
1606,6,Common
1607,5,Common
1608,6,Common
1609,8,Common
1610,7,Common
1611,7,Common
1612,5,Gleaming
1613,5,Gleaming
1614,5,Gleaming
1615,5,Common
1616,7,Common
1617,5,Common
1618,5,Gleaming
1619,5,Common
1620,6,Common
1621,4,Common
1621,4,Common
1622,7,Common
