DI,Craftsmanship,EraConstructed
293,7,1713
294,9,1523
295,6,1407
296,9,1662
297,5,1388
298,6,1150
299,7,1617
300,4,1136
301,6,1002
302,5,1264
303,6,1367
304,5,1397
305,5,1671
306,9,1709
307,7,1549
308,4,1296
309,9,1613
310,6,1217
311,5,1467
312,6,1354
313,6,1367
314,3,1239
315,2,1107
316,4,1094
317,7,1476
318,8,1424
319,7,1214
320,8,1727
321,6,1563
322,7,1658
323,8,1674
324,7,1774
325,5,1381
326,7,1431
327,4,1191
328,5,1427
329,7,1688
330,5,1239
331,7,1665
332,5,1226
333,5,1312
334,6,1458
335,5,1275
336,6,1286
337,6,1303
338,5,1388
339,6,1440
340,6,1153
341,8,1478
342,7,1729
343,7,1433
344,5,1084
345,7,1019
346,7,1631
347,6,1363
348,6,1292
349,5,1446
350,5,1278
351,6,1161
352,6,1222
353,7,1022
354,9,1788
355,7,1705
356,7,1734
357,5,1209
358,8,1677
359,6,1495
360,6,1278
360,6,1278
361,4,1135
362,6,1475
363,7,1797
364,7,1673
365,6,1301
366,5,1351
367,7,1634
368,7,1492
369,8,1576
370,8,1771
371,8,1025
372,7,1531
373,4,1176
374,4,1076
375,6,1540
376,5,1025
377,4,1287
378,6,1097
379,6,1309
380,8,1693
381,6,1366
382,8,1724
383,5,1222
384,5,1022
385,5,1500
385,5,1500
386,8,1733
387,4,1172
388,9,1795
389,6,1164
390,8,1647
391,5,1011
392,4,1156
393,2,1028
394,8,1619
395,4,1028
396,7,1404
397,7,1711
398,5,1013
399,6,1477
400,3,1014
401,8,1794
402,7,1072
403,6,1391
404,5,1425
405,4,1103
406,6,1748
407,8,1625
408,7,1576
409,9,1618
410,7,1688
411,5,1477
412,3,1141
413,7,1089
414,4,1088
415,5,1079
416,8,1483
417,7,1608
418,6,1332
419,5,1380
420,5,1388
421,6,1656
422,5,1345
423,6,1739
424,5,1431
425,6,1773
426,6,1397
427,4,1346
428,6,1793
429,7,1624
430,9,1749
431,5,1244
432,5,1533
432,5,1533
433,7,1452
434,5,1010
435,6,1341
436,8,1691
437,7,1575
438,8,1668
439,7,1521
440,5,1318
441,5,1399
442,6,1401
443,4,1333
444,7,1537
445,5,922
446,4,1384
447,5,1774
448,7,1647
449,9,1679
450,5,1282
451,7,1684
452,7,1517
453,7,1549
454,7,1546
455,6,1030
456,7,1741
457,4,1102
458,6,1294
459,5,1386
460,6,1040
461,5,1296
462,6,1066
463,5,1196
464,8,1789
465,5,1012
466,10,1669
467,5,1363
468,5,1436
469,5,1320
470,5,1530
471,7,1440
472,4,1023
473,5,1261
474,7,1503
475,7,1536
476,6,1330
477,6,1329
478,6,1005
479,8,1771
480,4,1236
481,6,1239
482,6,1243
483,7,1451
484,8,1473
485,5,1462
486,7,1671
487,7,1654
488,7,1455
489,5,1179
490,5,1212
491,7,1633
492,8,1551
493,6,1598
494,6,1396
495,5,1377
496,5,1013
497,6,1168
498,9,1651
499,5,1132
500,6,1766
501,5,1093
502,6,1201
503,5,1080
504,6,1472
505,9,1619
506,6,1497
507,7,1672
508,5,1308
509,6,1506
510,7,1693
511,8,1757
512,4,1183
513,5,1316
514,5,1224
515,6,1315
516,9,1774
517,8,1709
518,5,1230
519,7,1516
520,9,1712
521,8,1355
522,8,1663
523,5,1464
524,8,1728
525,5,1498
526,5,1098
527,5,1379
528,5,1053
529,6,1588
530,4,1137
531,9,1649
532,2,1012
533,4,1233
534,5,1087
535,4,1084
536,5,1048
537,7,1726
538,5,1090
539,4,1048
540,7,1039
541,5,1315
542,5,1113
543,9,1696
544,6,1293
545,7,1580
546,7,1498
547,7,1077
548,8,1703
549,6,1342
550,6,1010
551,8,1402
552,5,1250
553,5,1044
554,2,1098
555,7,1734
556,8,1797
557,6,1401
558,9,1692
559,6,1087
560,6,1158
561,9,1600
562,7,1732
563,7,1478
564,5,1206
565,5,1197
566,7,1649
567,6,1101
568,6,1470
569,7,1739
570,5,1360
571,5,1223
572,3,1142
573,4,1380
574,7,1601
575,4,914
576,5,1043
577,7,1000
578,7,1008
579,5,1380
580,6,1482
581,5,1495
582,5,1020
583,6,1372
584,4,1369
585,7,1746
586,6,1256
587,7,1649
588,7,1285
589,6,1327
590,6,1704
591,7,1499
592,7,1046
593,5,1052
594,5,1303
595,4,1526
596,7,1786
597,4,1069
598,5,1040
599,7,1600
600,5,1213
601,4,1215
602,7,1230
603,7,888
604,7,1665
605,5,1311
606,7,1760
607,6,1462
608,6,1567
609,8,1792
610,5,1296
611,6,1332
612,6,1084
613,6,1520
614,3,1199
615,6,1693
616,6,1610
617,7,1588
618,5,967
619,5,1305
620,7,1770
621,6,1211
622,5,1336
623,8,1434
624,5,1217
625,9,1601
626,5,1364
627,7,1708
628,10,1689
629,5,1131
630,4,1391
631,5,1488
632,7,1257
633,7,1752
634,7,1468
635,7,1646
636,7,1563
637,4,1176
638,6,1458
639,7,1104
640,7,1168
641,3,1241
642,8,1782
643,7,1292
644,5,1578
645,6,1163
646,6,1618
647,5,1145
648,5,1109
649,5,1472
650,6,1523
651,4,1193
652,7,1676
653,8,1726
654,8,1709
655,4,1453
656,6,1624
657,5,1051
658,6,1607
659,5,1342
660,5,1278
661,7,1741
662,8,1709
663,5,1050
664,7,1425
665,3,1103
666,8,1617
667,5,1287
668,7,1618
669,7,1618
670,7,1700
671,7,1295
672,5,1184
673,5,1420
674,6,1347
675,6,1578
676,5,1296
677,6,1387
678,7,1664
679,5,1254
680,7,1402
681,8,1782
682,5,1312
683,5,1287
684,6,1482
685,10,1619
686,5,1223
687,5,1711
688,6,1586
689,7,1733
690,8,1573
691,5,1241
692,7,1459
693,8,1730
694,5,1138
695,5,1033
696,6,1468
697,6,1322
698,9,1661
699,3,1204
700,6,1510
701,5,1345
702,5,1378
703,6,1172
704,9,1613
705,7,1454
706,6,1287
707,7,1576
708,8,1776
709,4,1050
710,7,1257
711,5,1137
712,5,1263
713,5,1383
714,5,1536
715,4,1371
716,6,1173
717,5,1377
718,6,1648
719,5,1200
720,3,1311
721,8,1619
722,4,1101
723,8,1021
724,5,1145
725,7,1638
726,4,1305
726,4,1305
727,5,1299
728,7,1632
729,6,1499
730,6,1325
731,8,1343
732,8,1493
733,6,1195
734,5,1398
735,5,1213
736,4,1161
737,3,1150
738,6,1516
739,7,1690
740,4,1057
741,6,1400
742,4,1292
743,7,1567
744,5,1100
745,7,1755
746,5,1388
747,5,1193
748,4,1021
749,7,1126
750,6,1400
751,5,1300
752,7,1669
753,7,1724
754,6,1792
755,6,1086
756,8,1679
757,6,1057
758,6,1013
759,7,1750
760,6,1415
761,5,1290
762,7,1394
763,4,1354
764,5,1253
765,6,1242
766,7,1671
767,7,1792
768,5,1076
769,7,1740
770,6,1273
771,5,1313
772,4,1394
773,7,1020
774,7,1722
775,6,1011
776,6,1730
777,7,1676
778,5,1177
779,7,1784
780,4,1211
781,5,1377
782,8,1635
783,7,1752
784,4,1063
785,5,1145
786,9,1507
787,7,1753
788,5,1503
789,6,1339
790,5,1252
791,5,1031
792,8,1605
793,5,1419
794,5,1463
795,7,1603
796,4,1027
797,6,1785
798,8,1418
799,4,1282
800,6,1442
801,6,1533
802,6,1312
803,4,998
804,6,1217
805,9,1728
806,7,1724
807,10,903
808,4,1300
809,7,1470
810,5,1217
811,7,1108
812,5,1237
813,5,1426
814,4,1245
815,6,1450
816,5,1384
817,5,1221
818,8,1732
819,5,1444
820,9,1747
821,5,1274
822,9,1692
823,7,1721
824,5,1207
825,5,1081
826,6,1362
827,5,1272
828,7,1499
829,7,1694
830,7,1678
831,6,1548
832,4,1283
833,8,1611
834,7,1325
835,10,1741
836,7,1745
837,6,1547
838,4,1295
839,8,1671
840,5,1203
841,5,916
842,6,1272
843,8,1745
844,5,1251
845,6,1295
846,6,1166
847,6,1413
848,7,1375
849,8,1708
850,7,1584
851,5,1070
852,6,1096
853,6,1129
854,5,1379
855,8,1491
856,7,1680
857,5,1318
858,3,1167
859,6,1697
860,7,1734
861,6,1465
862,5,1296
863,5,1294
864,7,1550
865,5,1247
866,6,1693
867,6,1225
868,4,1330
869,6,1013
870,4,1295
871,4,1355
872,5,1372
873,4,1016
874,9,1655
875,7,1576
876,5,1313
877,5,1267
878,5,1142
879,6,1650
880,5,1322
881,5,1366
882,6,1044
883,7,1246
884,5,1588
885,5,1391
886,4,1246
887,5,1379
888,8,1702
889,6,1442
890,9,1627
891,7,1522
892,6,1176
893,7,1648
894,5,1308
895,8,1757
896,5,1567
897,8,1446
898,5,1348
899,8,1552
900,7,1434
901,5,1500
902,5,1221
903,6,1308
904,8,1502
905,5,1218
906,6,1770
907,4,1390
908,4,1276
909,6,1584
910,8,1618
911,5,1220
912,5,1100
913,5,1245
914,8,1795
915,8,1600
916,8,1797
917,5,1316
918,9,1624
919,7,1608
920,7,1274
921,8,1693
922,5,1400
923,8,1744
924,6,1041
925,6,1454
926,6,1384
927,6,1151
928,7,1654
929,5,1303
930,5,1187
931,5,1233
932,6,1624
933,5,1337
934,6,1098
935,7,1554
936,6,1492
937,7,1011
938,4,1092
939,5,1034
940,5,1256
941,7,1796
942,8,1522
943,6,1105
944,6,1697
945,5,1382
946,5,1123
947,7,1737
948,7,1698
949,5,1158
950,5,1395
951,7,1609
952,4,1093
953,7,1632
954,7,1629
955,7,1466
956,6,1699
957,7,1749
958,5,1587
959,8,1687
960,5,1013
961,4,1312
962,6,1366
963,5,1274
964,5,1270
965,5,1221
966,7,1757
967,4,1350
968,7,1788
969,7,1453
970,8,1606
971,8,1744
972,5,1428
973,7,1628
974,8,1762
975,5,1353
976,4,1131
977,7,1672
978,5,1350
979,5,1057
980,7,1797
981,5,1375
982,7,1665
983,7,1796
984,5,1337
985,5,1240
986,7,1710
987,5,1265
988,9,1663
989,8,1547
990,7,1770
991,9,1600
992,4,1323
993,6,1106
994,6,1129
995,5,1262
996,8,1522
997,5,1355
998,5,1299
999,5,1323
1000,6,1799
1001,5,1244
1002,6,1507
1003,7,1603
1004,6,1529
1005,6,1248
1006,7,1437
1007,7,1673
1008,5,1314
1009,4,1080
1010,5,1247
1011,5,1072
1012,6,1390
1013,6,1491
1014,10,1721
1015,7,1591
1016,6,1442
1016,6,1442
1017,7,1562
1018,5,1570
1019,6,1308
1020,5,1176
1021,5,1131
1022,6,1466
1023,7,1504
1024,5,1455
1025,8,1742
1026,2,1107
1027,6,1656
1028,6,1537
1029,6,1464
1030,8,1791
1031,5,1184
1032,7,1751
1033,5,1437
1034,5,1074
1035,9,1716
1036,8,1626
1037,5,1341
1038,6,1369
1039,7,1070
1040,7,1413
1041,8,1400
1042,8,1559
1043,6,1292
1044,5,1313
1045,7,1719
1046,8,1489
1047,5,1367
1048,5,1042
1049,5,1271
1050,7,1795
1051,4,1015
1052,6,1022
1053,5,1439
1054,7,1779
1055,5,1200
1056,7,1349
1057,4,1370
1058,7,1684
1059,5,1314
1060,5,1041
1061,6,1288
1062,6,1137
1063,8,1782
1064,6,1575
1065,5,1231
1066,5,1351
1067,8,1681
1068,6,1247
1069,7,1219
1070,8,1640
1071,5,1059
1072,5,1020
1073,5,1406
1074,5,1199
1075,6,1232
1076,5,1003
1077,4,1220
1078,9,1714
1079,3,1268
1080,6,1533
1081,5,1245
1082,5,1289
1083,6,1247
1084,9,1630
1085,6,1652
1086,9,1754
1087,9,1731
1088,5,1349
1089,4,1309
1090,6,1454
1091,4,1551
1092,8,1412
1093,6,1414
1094,4,1242
1095,5,1012
1096,8,1771
1097,6,1523
1098,7,1561
1099,9,1669
1100,5,1105
1101,6,1140
1102,5,1221
1103,8,1741
1104,6,1487
1105,9,1625
1106,5,1258
1107,8,1651
1108,7,1774
1109,8,1643
1110,5,1353
1111,7,1728
1112,5,1116
1113,7,1604
1114,5,1260
1115,7,1271
1116,6,1274
1117,7,1698
1118,8,1554
1119,5,1282
1120,7,1065
1121,6,1454
1122,6,1464
1123,7,1795
1124,7,1740
1125,7,1775
1126,5,1131
1126,5,1131
1127,6,1366
1128,8,1580
1129,7,887
1130,6,1547
1131,5,1087
1132,6,1080
1133,7,1466
1134,6,1687
1135,8,1764
1136,6,1482
1137,5,1257
1138,5,1054
1139,5,1079
1140,8,1706
1141,5,1460
1142,6,1256
1143,4,1021
1144,8,1750
1145,4,1017
1146,3,1054
1147,6,1356
1147,6,1356
1148,5,1084
1149,4,1293
1150,5,1330
1151,7,1561
1152,4,1323
1153,5,1292
1154,6,1534
1155,6,1566
1155,6,1566
1156,4,1371
1157,6,1232
1158,9,1650
1159,8,1786
1160,8,1400
1161,5,1046
1162,4,1337
1163,7,1794
1164,8,1629
1165,5,1207
1166,8,1470
1167,8,1769
1168,4,1345
1169,7,1554
1170,9,1721
1171,6,1613
1172,7,1769
1173,7,1768
1174,8,1717
1175,5,1011
1176,5,1019
1177,8,1044
1178,6,1560
1179,5,1330
1180,7,1694
1181,6,1047
1182,5,1581
1183,6,1493
1184,5,1277
1185,6,1428
1186,6,1436
1187,5,1228
1188,5,1541
1189,3,1132
1190,4,1191
1191,7,1012
1192,5,1093
1193,6,1275
1194,8,1705
1195,8,1670
1196,5,1242
1197,7,1734
1198,5,1043
1199,5,1484
1200,5,1272
1201,6,1504
1202,7,1607
1203,5,1456
1204,7,1740
1205,4,1334
1206,6,1194
1207,5,1170
1208,4,1023
1209,8,1493
1210,8,1483
1211,7,1530
1212,5,1139
1213,10,1468
1214,6,1313
1215,8,1723
1215,8,1723
1216,6,1527
1217,8,1656
1218,7,1638
1219,6,1411
1220,6,1314
1221,6,1459
1222,4,1308
1223,8,1603
1224,4,1074
1225,8,1733
1226,5,1060
1227,6,1437
1228,6,1204
1229,7,1694
1230,8,1555
1231,6,1116
1232,6,1283
1233,5,1198
1234,3,1360
1235,6,1480
1236,6,1162
1237,6,1318
1238,7,1794
1239,5,1332
1240,10,1763
1241,6,1363
1241,6,1363
1242,5,1285
1243,7,1660
1244,6,1777
1245,5,1188
1246,6,1490
1247,5,1088
1248,8,1586
1249,6,1084
1250,3,1112
1251,4,1000
1252,6,1213
1253,5,1479
1254,5,1068
1255,7,1064
1256,5,1116
1257,7,1744
1258,6,1200
1259,6,1319
1260,6,1393
1261,4,1118
1262,6,1295
1263,5,1372
1264,5,1396
1265,4,1263
1266,8,1628
1267,6,1526
1268,8,1608
1269,3,1186
1270,5,1285
1271,8,1482
1272,5,1244
1273,7,1791
1274,7,1791
1275,8,1539
1276,8,1197
1277,8,1660
1278,6,1799
1279,5,1255
1280,5,1286
1281,5,1207
1282,5,1299
1283,6,1241
1284,5,1214
1285,6,1298
1286,7,1651
1287,6,1226
1288,4,1362
1289,3,1134
1290,8,1476
1291,7,1508
1292,5,1062
1293,5,1364
1294,5,1160
1295,7,1099
1296,6,1357
1297,8,1782
1298,7,1585
1299,6,1578
1300,7,1770
1301,8,1688
1302,6,1369
1303,5,1194
1304,8,1784
1305,6,1514
1306,5,1301
1307,8,1698
1308,9,1796
1309,4,1385
1310,5,1478
1311,6,1211
1312,8,1682
1313,7,1637
1314,7,1413
1315,4,1297
1316,8,1546
1317,5,1169
1318,6,1173
1319,5,1052
1320,7,1514
1321,5,1259
1322,5,1345
1323,5,1286
1324,5,1547
1325,5,1118
1326,8,1753
1327,6,1393
1328,6,1569
1329,7,1459
1330,6,1385
1331,7,1777
1332,6,1374
1333,8,1732
1334,5,1251
1335,5,1519
1336,6,959
1337,6,1143
1338,7,1619
1339,5,1350
1340,7,1748
1341,7,1486
1342,7,1290
1343,6,1091
1344,7,1653
1345,8,1640
1346,5,1558
1347,7,1681
1348,5,1199
1349,4,1042
1350,6,1767
1351,9,1786
1352,6,1234
1353,8,1723
1354,6,1250
1355,6,1235
1356,6,1164
1357,6,1390
1358,4,1589
1359,4,1552
1360,8,1732
1361,7,1485
1362,8,1798
1363,8,1731
1364,5,1361
1365,9,1621
1366,8,1562
1367,9,1785
1368,6,1431
1369,9,1664
1370,5,1398
1371,4,1294
1372,8,1480
1372,8,1480
1373,5,1255
1374,5,1236
1375,7,1627
1376,5,1287
1377,7,1525
1378,4,1239
1379,9,1714
1380,7,1774
1381,7,1735
1382,5,951
1383,5,1703
1384,7,1775
1385,5,1132
1386,5,1394
1387,5,1019
1388,7,1550
1389,5,1382
1390,9,1720
1391,7,1558
1392,2,1063
1393,2,1043
1394,5,1113
1395,8,1730
1396,7,1736
1397,5,1403
1398,6,1574
1399,6,1221
1400,6,1027
1401,6,1291
1402,4,1315
1403,5,1389
1404,6,1447
1405,5,1380
1406,5,1075
1407,5,1154
1408,6,1384
1409,8,1782
1410,7,1681
1411,6,1306
1412,7,1769
1413,5,1204
1414,8,1792
1415,8,1786
1416,4,1390
1417,5,1010
1418,6,1475
1419,4,1344
1420,6,1488
1421,4,1237
1422,6,1173
1423,7,1514
1424,5,1108
1425,6,1416
1426,5,1306
1427,6,1568
1428,7,1672
1429,6,1002
1430,6,1020
1431,6,1766
1432,5,1458
1433,5,1694
1434,10,1747
1435,8,1678
1436,7,1681
1437,7,1770
1438,5,1182
1439,8,1767
1440,5,1076
1441,6,1538
1442,9,1678
1443,5,1324
1444,7,1735
1445,8,1658
1446,6,1491
1447,5,1510
1448,4,1342
1449,6,1094
1450,6,1342
1451,6,1120
1452,6,1584
1453,6,1191
1454,7,1449
1455,5,1207
1456,5,1069
1457,7,1669
1458,4,1319
1459,7,1564
1460,5,1378
1461,8,1635
1462,6,1470
1463,5,1376
1464,6,1291
1465,7,1566
1466,6,1367
1467,5,1327
1468,6,1398
1469,8,1441
1470,8,1790
1471,6,1238
1472,5,1069
1473,5,1378
1474,5,1470
1475,5,1169
1476,6,1125
1477,7,1503
1478,6,1247
1479,5,1271
1480,6,1415
1481,6,1773
1482,8,1433
1483,4,1325
1484,8,1732
1485,6,1512
1486,7,1795
1487,5,1244
1488,4,1209
1489,6,1592
1490,5,1035
1491,4,1029
1492,9,1759
1493,4,1382
1494,5,1313
1495,6,1671
1496,6,1476
1497,7,1074
1498,6,1522
1499,5,1304
1500,7,1736
1501,7,1285
1502,7,1703
1503,5,1203
1504,4,1370
1505,7,1731
1506,5,1273
1507,9,1784
1508,8,1708
1509,6,1428
1510,5,1445
1511,7,1169
1512,5,1349
1513,6,1699
1514,9,1695
1515,6,1743
1516,6,1118
1517,7,1758
1518,6,1056
1519,8,1621
1520,4,890
1521,7,1637
1522,5,1125
1523,5,1379
1524,10,1671
1525,9,1613
1526,7,1307
1527,8,1769
1528,5,1331
1529,5,1371
1530,4,1323
1531,7,1609
1532,7,1570
1533,8,1656
1534,6,1408
1535,7,1024
1536,9,1742
1537,8,1426
1538,7,1714
1539,6,1016
1540,6,1398
1541,7,1373
1542,6,1564
1543,5,1240
1544,7,1628
1545,5,1190
1546,7,1537
1547,3,1124
1548,9,1686
1549,7,1768
1550,6,1516
1551,5,1360
1552,7,1790
1553,7,1503
1554,9,1585
1555,6,1402
1556,5,1342
1557,5,1120
1558,8,1428
1559,5,1058
1560,5,1296
1561,5,1576
1562,5,1157
1563,5,1293
1564,4,1150
1565,6,1170
1566,5,1246
1567,5,1195
1568,4,1149
1569,4,1057
1570,9,1738
1571,5,1471
1572,5,1013
1573,7,1082
1574,8,1794
1575,6,1363
1576,5,1133
1577,5,1256
1578,5,1326
1579,7,1440
1580,7,1293
1581,7,1726
1582,8,1729
1583,8,1702
1584,8,1518
1585,5,1301
1586,6,1411
1587,4,1102
1588,5,1316
1589,6,1291
1590,7,1711
1591,5,1568
1592,5,1173
1593,5,1547
1594,5,1524
1595,7,1491
1596,3,1242
1597,5,1067
1598,7,1395
1599,5,1285
1600,6,1669
1601,4,1304
1602,6,1598
1603,5,1522
1604,6,1316
1605,7,1557
1606,6,1210
1607,7,1490
1608,5,1213
1609,5,1008
1610,5,1284
1611,4,1123
1612,6,1680
1613,7,1557
1614,7,1681
1615,4,1735
1616,6,1596
1617,4,1111
1618,6,1439
1619,4,1308
1620,6,1445
1621,5,1236
1621,5,1236
1622,7,1041
1623,4,1060
1624,5,1271
1625,8,1472
1626,5,1300
1627,10,1411
1628,6,1465
1629,7,1391
1630,7,1689
1631,7,1669
1632,5,1389
1633,7,971
1634,8,1696
1635,5,1329
1636,7,1559
1637,9,1671
1638,5,1358
1639,5,1033
1640,8,1570
1641,5,1219
1642,5,1695
1643,7,1058
1644,5,1093
1645,5,1345
1646,4,1079
1647,8,1780
1648,5,1408
1649,5,1320
1650,7,1678
1651,5,1621
1652,9,1777
1653,8,1649
1654,5,1390
1655,6,1679
1656,5,1276
1657,3,1150
1658,5,1712
1659,5,1337
1660,7,1785
1661,5,1247
1662,6,1448
1663,7,1478
1664,7,1762
1665,8,1604
1666,3,1172
1667,6,1284
1668,5,1226
1669,6,1798
1670,8,1791
1671,5,1360
1672,5,1298
1673,9,1660
1674,5,1397
1675,5,1375
1676,6,1138
1677,6,1345
1678,5,1375
1679,8,1763
1680,6,1709
1681,7,1501
1682,6,1301
1683,6,1357
1684,6,1364
1685,7,1617
1686,6,1316
1687,5,1159
1688,9,1662
1689,6,1639
1690,6,1197
1691,7,1536
1692,6,1631
1693,6,1130
1694,6,1321
1695,9,1599
1696,4,1278
1697,5,1465
1698,7,1179
1699,6,1435
1700,6,1363
1701,7,1027
1702,5,1135
1703,4,1366
1704,7,1686
1705,9,1619
1706,5,1149
1707,7,1452
1708,10,1681
1709,7,1751
1710,6,1206
1711,5,1073
1712,6,1659
1713,7,1660
1714,7,1675
1715,6,1243
1716,7,1492
1717,8,1618
1718,5,1093
1719,6,1065
1720,8,1612
1721,5,1399
1722,7,1797
1723,7,1473
1724,10,1734
1725,9,1698
1726,7,1632
1727,7,1415
1728,7,1470
1729,7,1159
1730,7,1183
1731,9,1695
1732,8,1621
1733,7,1236
1734,6,1329
1735,8,1621
1736,5,1161
1737,6,1302
1738,7,1798
1739,6,1203
1740,5,1342
1741,5,1236
1742,8,1424
1743,6,1421
1744,3,1111
1745,5,1286
1746,6,1451
1747,7,1668
1748,5,1384
1749,6,1287
1750,8,1772
1751,6,1586
1752,5,1471
1753,5,1319
1754,5,1299
1755,6,1086
1756,5,1163
1757,5,1219
1758,8,1531
1759,4,1221
1760,6,1285
1761,7,1572
1762,5,1284
1763,5,1533
1764,6,1132
1765,7,1797
1766,6,1360
1767,5,1220
1768,6,1787
1769,5,1085
1770,6,1315
1771,4,1286
1772,6,1504
1773,7,1316
1774,6,1450
1775,3,1035
1776,6,1351
1777,5,1076
1778,6,1334
1779,6,1519
1780,4,1043
1781,5,1321
1782,5,1111
1783,8,1613
1784,4,1320
1785,5,1393
1786,10,1689
1787,5,1376
1788,8,1750
1789,6,1080
1790,5,1326
1791,7,1291
1792,7,1689
1793,5,1070
1794,5,1387
1795,7,1597
1796,7,1486
1797,6,1375
1798,8,1657
1799,5,1227
1800,8,1602
1801,7,1038
1802,4,1393
1803,5,1178
1804,8,1621
1805,7,1341
1806,5,1372
1807,6,1629
1808,7,1753
1809,6,1119
1810,7,1488
1811,4,1153
1812,7,1763
1813,5,1392
1814,7,1680
1815,6,1070
1816,8,1587
1817,5,1350
1818,8,1701
1819,4,1336
1820,6,1327
1821,5,1079
1822,8,1776
1823,7,1599
1824,9,1763
1825,7,1703
1826,5,1007
1827,6,1649
1828,6,1271
1829,4,1119
1830,4,1014
1831,6,1131
1832,8,1667
1833,5,1218
1834,7,1472
1835,7,1588
1836,6,1216
1837,6,1423
1838,6,1608
1839,7,1016
1840,5,1089
1841,6,1387
1842,6,1457
1843,6,1414
1844,5,1781
1845,5,1374
1846,4,956
1847,5,1279
1848,8,1694
1849,9,1659
1850,6,1104
1851,6,1173
1852,5,1573
1853,6,1389
1854,6,1013
1855,6,1547
1856,7,1076
1857,6,1288
