DI,TradeValue,RealmType,Enclave,LivingQuarters,ParcelSize,ParcelSizeUnit,StructuralIntegrity,ExteriorCharm,AffordableDwelling,Craftsmanship,EraConstructed
56,144000.0,Meadowlands,Petalbridge,812.0,648.370037,sqm,5,Common,1,6,1568
57,34900.0,ArcaneMarket,Mystvale,553.0,731.982737,sqm,5,Common,1,4,1130
58,229000.0,Meadowlands,Shadowmere,1779.0,1027.50718,sqm,5,Gleaming,1,7,1727
60,208000.0,Meadowlands,Thornfield,1524.0,1264.131121,sqm,6,Common,1,6,1598
61,107900.0,GnomeBurough,Petalbridge,693.0,557.418,sqm,7,Common,1,4,1396
63,164990.0,Meadowlands,Sunspire,1007.0,814.480601,sqm,5,Gleaming,0,7,1694
64,360000.0,Meadowlands,Silverglen,1335.0,1075.630934,sqm,5,Enchanting,0,9,1659
65,163500.0,Meadowlands,Dragonspire,923.0,817.5464,sqm,6,Common,1,7,1251
66,316600.0,Meadowlands,Brightforge,1639.0,1145.215281,sqm,8,Gleaming,1,8,1552
67,145000.0,GnomeBurough,Shadowmere,824.0,341.418525,sqm,5,Common,1,5,1645
68,185000.0,Meadowlands,Duskwood,1264.0,896.421047,sqm,5,Common,1,6,1477
69,212999.0,Meadowlands,Sunspire,1153.0,813.83028,sqm,5,Gleaming,0,8,1678
70,193500.0,Meadowlands,Dragonspire,1647.0,1207.739,sqm,6,Common,1,6,1325
71,129800.0,Meadowlands,Dragonspire,627.0,794.32065,sqm,8,Common,1,6,1097
72,191750.0,Meadowlands,Brightforge,1399.0,1078.882539,sqm,5,Gleaming,1,6,1464
73,73000.0,GnomeBurough,Petalbridge,587.0,486.068496,sqm,5,Common,1,5,1113
74,144100.0,GnomeBurough,Petalbridge,1269.0,780.199394,sqm,8,Common,1,6,1123
75,232000.0,Meadowlands,Wyverncliff,1210.0,1110.841171,sqm,5,Gleaming,0,8,1740
76,372500.0,Meadowlands,Riverbend,1573.0,1100.343132,sqm,5,Gleaming,0,8,1780
77,164000.0,GnomeBurough,Crystalhollow,935.0,418.0635,sqm,5,Common,1,6,1572
78,225000.0,Meadowlands,Duskwood,1525.0,999.822086,sqm,5,Gleaming,1,7,1529
79,176000.0,Meadowlands,Nighthaven,1521.0,919.7397,sqm,5,Common,1,7,1335
80,216000.0,AetherIsles,Wyverncliff,1287.0,696.7725,sqm,5,Gleaming,0,7,1767
82,220000.0,Meadowlands,Sunspire,1163.0,1463.22225,sqm,5,Gleaming,0,8,1512
84,146000.0,Meadowlands,Sunspire,761.0,782.986484,sqm,7,Common,1,5,1571
85,110500.0,GnomeBurough,Petalbridge,666.0,360.46364,sqm,9,Common,1,5,1108
86,213000.0,Meadowlands,Brightforge,1365.0,865.577251,sqm,5,Gleaming,1,7,1552
87,174000.0,Meadowlands,Ravenstone,953.0,959.780893,sqm,7,Common,1,7,1524
88,284500.0,Meadowlands,Glimmerwood,1691.0,897.44298,sqm,5,Gleaming,0,8,1478
89,239000.0,Meadowlands,Ravenstone,1208.0,1021.096873,sqm,5,Gleaming,0,8,1638
90,188500.0,Meadowlands,Riverbend,1028.0,552.77285,sqm,5,Gleaming,0,8,1586
91,160000.0,Meadowlands,Shadowmere,4339.0,5935.293961,sqm,5,Enchanting,1,10,1666
92,136900.0,Meadowlands,Shadowmere,1426.0,884.901075,sqm,4,Common,1,6,1200
93,86000.0,GnomeBurough,Wolfsbane,484.0,141.769978,sqm,8,Common,1,4,1316
94,132250.0,Meadowlands,Crystalhollow,799.0,2349.145258,sqm,5,Common,1,4,1395
95,174500.0,Meadowlands,Thornfield,1203.0,1114.836,sqm,7,Common,1,7,1152
96,184000.0,Meadowlands,Brightforge,1296.0,724.6434,sqm,5,Gleaming,1,7,1670
97,128000.0,GnomeBurough,Petalbridge,1141.0,585.2889,sqm,6,Common,1,6,1090
98,137500.0,Meadowlands,Shadowmere,908.0,930.144836,sqm,5,Common,1,4,1333
99,110000.0,Meadowlands,Shadowmere,906.0,765.52072,sqm,6,Common,1,6,1382
100,220000.0,Meadowlands,Sunspire,1233.0,818.847042,sqm,5,Gleaming,0,7,1629
101,115000.0,ArcaneMarket,Mystvale,1073.0,836.127,sqm,6,Modest,1,5,1300
102,207500.0,Meadowlands,Silverglen,1010.0,470.367889,sqm,5,Gleaming,0,7,1707
103,110000.0,GnomeBurough,Petalbridge,946.0,969.90732,sqm,6,Common,1,5,1151
104,200624.0,Meadowlands,Thornfield,1934.0,3034.955204,sqm,3,Gleaming,0,6,1241
105,138000.0,Meadowlands,Dragonspire,909.0,743.224,sqm,5,Common,1,5,1318
106,252000.0,Meadowlands,Glimmerwood,1834.0,1002.42337,sqm,5,Gleaming,0,7,1437
107,196500.0,Meadowlands,Sunspire,1323.0,1081.855435,sqm,5,Gleaming,0,7,1747
108,164000.0,Meadowlands,Nighthaven,996.0,1086.9651,sqm,5,Common,1,6,1340
109,270000.0,Meadowlands,Mossheart,1149.0,887.130747,sqm,5,Gleaming,0,8,1502
110,149000.0,GnomeBurough,Stormwatch,1212.0,579.7147199999999,sqm,6,Common,1,5,1185
111,219500.0,Meadowlands,Thornfield,1338.0,1219.351875,sqm,6,Common,1,7,1186
112,275000.0,Meadowlands,Silverglen,1306.0,1070.24256,sqm,5,Gleaming,0,9,1752
113,109000.0,Meadowlands,Dragonspire,813.0,735.977566,sqm,7,Common,1,5,1347
114,138400.0,GnomeBurough,Stormwatch,1181.0,579.7147199999999,sqm,5,Common,1,5,1028
115,131500.0,GnomeBurough,Sunspire,652.0,412.024805,sqm,5,Gleaming,1,6,1786
116,263550.0,Meadowlands,Glimmerwood,1716.0,1086.221876,sqm,5,Gleaming,0,8,1477
117,110000.0,Meadowlands,Thornfield,1056.0,860.28178,sqm,4,Common,1,5,1193
118,147000.0,Meadowlands,Dragonspire,928.0,883.50753,sqm,5,Common,1,6,1289
119,257500.0,Meadowlands,Thornfield,1414.0,1341.705126,sqm,7,Common,1,6,1362
120,128500.0,Meadowlands,Cloudrest,643.0,195.467912,sqm,6,Common,1,7,1423
121,348000.0,Meadowlands,Glimmerwood,1839.0,878.119156,sqm,5,Gleaming,0,8,1536
123,250000.0,GnomeBurough,Thornfield,1266.0,354.053333,sqm,5,Gleaming,1,7,1604
124,148000.0,Meadowlands,Dragonspire,918.0,813.83028,sqm,6,Common,1,6,1281
125,129850.0,GnomeBurough,Mystvale,1231.0,677.077064,sqm,7,Gleaming,1,5,1142
126,235000.0,Meadowlands,Windwhisper,963.0,1254.1905,sqm,7,Common,1,6,1244
127,123000.0,Meadowlands,Sunspire,687.0,668.9016,sqm,5,Common,1,5,1208
128,307000.0,Meadowlands,Wyverncliff,1303.0,936.833852,sqm,5,Gleaming,0,8,1748
129,167000.0,Meadowlands,Sunspire,1181.0,840.307635,sqm,5,Gleaming,0,5,1677
130,168500.0,Meadowlands,Nighthaven,1585.0,891.8688,sqm,5,Common,1,7,1277
131,140000.0,Meadowlands,Dragonspire,1381.0,655.523568,sqm,5,Common,1,6,1256
132,150000.0,Meadowlands,Nighthaven,1338.0,1026.57815,sqm,5,Common,1,6,1327
133,284700.0,Meadowlands,Shadowmere,2938.0,4367.091321,sqm,7,Common,1,5,1273
134,131000.0,Meadowlands,Crystalhollow,693.0,825.443155,sqm,5,Common,1,5,1465
135,274970.0,Meadowlands,Shadowmere,1693.0,1829.26007,sqm,7,Gleaming,1,6,1343
136,625000.0,Meadowlands,Glimmerwood,2789.0,3322.21128,sqm,5,Gleaming,0,10,1429
137,122000.0,GnomeBurough,Petalbridge,1453.0,940.17836,sqm,4,Modest,1,7,1141
139,178000.0,Meadowlands,Duskwood,1208.0,728.080811,sqm,7,Gleaming,1,6,1441
140,235000.0,AetherIsles,Wyverncliff,1393.0,786.88841,sqm,5,Gleaming,0,8,1712
141,200000.0,Meadowlands,Sunspire,992.0,628.210086,sqm,5,Gleaming,0,7,1699
142,91000.0,GnomeBurough,Wolfsbane,759.0,148.273188,sqm,5,Common,1,4,1356
144,128500.0,Meadowlands,Sunspire,746.0,921.59776,sqm,6,Common,1,5,1269
145,213000.0,Meadowlands,Sunspire,1141.0,780.3851999999999,sqm,5,Gleaming,0,7,1725
146,121000.0,Meadowlands,Dragonspire,719.0,918.624864,sqm,6,Common,1,5,1271
147,160000.0,Meadowlands,Crystalhollow,866.0,1616.5122,sqm,5,Common,1,5,1447
148,264132.0,Meadowlands,Wyverncliff,1158.0,1355.176061,sqm,5,Gleaming,0,9,1782
149,611657.0,Meadowlands,Silverglen,1818.0,1200.213857,sqm,5,Enchanting,0,9,1624
150,175000.0,Meadowlands,Ravenstone,1086.0,1064.389671,sqm,5,Common,1,6,1495
151,284000.0,Meadowlands,Silverglen,1573.0,987.094375,sqm,5,Gleaming,0,7,1732
152,160000.0,Meadowlands,Stormhold,1137.0,650.321,sqm,8,Common,1,7,1038
153,220000.0,GnomeBurough,Petalbridge,1912.0,3076.94736,sqm,5,Common,1,6,1293
154,128000.0,Meadowlands,Emberfall,756.0,845.4173,sqm,5,Common,1,5,1316
155,233000.0,Meadowlands,Brightforge,1603.0,942.222226,sqm,5,Gleaming,1,7,1602
156,336000.0,Meadowlands,Glimmerwood,2009.0,1133.695309,sqm,5,Gleaming,0,8,1525
157,171000.0,Meadowlands,Emberfall,1308.0,1546.556241,sqm,5,Common,1,5,1459
158,136905.0,Meadowlands,Nighthaven,1292.0,1068.3845,sqm,6,Common,1,5,1560
159,127500.0,Meadowlands,Shadowmere,1299.0,915.559065,sqm,5,Common,1,6,1304
160,369900.0,Meadowlands,Ravenstone,1559.0,1063.089029,sqm,5,Gleaming,0,8,1719
161,214000.0,Meadowlands,Silverglen,1180.0,944.916413,sqm,5,Gleaming,0,7,1703
162,108000.0,Meadowlands,Emberfall,729.0,834.083134,sqm,5,Common,1,5,1355
163,183900.0,AetherIsles,Wyverncliff,1116.0,346.992705,sqm,5,Gleaming,0,7,1530
164,240000.0,Meadowlands,Duskwood,1284.0,1380.445677,sqm,5,Gleaming,1,7,1656
165,228500.0,Meadowlands,Brightforge,1524.0,1048.596161,sqm,6,Gleaming,1,7,1468
166,213000.0,Meadowlands,Crystalhollow,1399.0,1026.57815,sqm,5,Common,1,7,1517
167,119164.0,GnomeBurough,Petalbridge,1273.0,708.664084,sqm,6,Common,1,4,1058
168,176500.0,Meadowlands,Duskwood,1255.0,843.930852,sqm,5,Common,1,7,1492
169,140000.0,Meadowlands,Dragonspire,856.0,919.7397,sqm,5,Common,1,5,1269
170,150000.0,Meadowlands,Emberfall,1246.0,928.193873,sqm,4,Common,1,4,1498
171,158000.0,Meadowlands,Emberfall,891.0,1073.308359,sqm,5,Common,1,5,1391
172,153500.0,GnomeBurough,Crystalhollow,1028.0,418.0635,sqm,5,Common,1,6,1552
173,117000.0,Meadowlands,Petalbridge,640.0,501.6762,sqm,7,Common,1,5,1287
174,230000.0,Meadowlands,Sunspire,1380.0,905.061026,sqm,5,Gleaming,0,8,1763
175,188500.0,Meadowlands,Duskwood,860.0,1506.793757,sqm,5,Gleaming,1,7,1688
176,250000.0,Meadowlands,Sunspire,1239.0,1083.620592,sqm,5,Gleaming,0,7,1726
177,155835.0,Meadowlands,Sunspire,1119.0,1031.502009,sqm,5,Gleaming,0,7,1660
178,134450.0,Meadowlands,Dragonspire,950.0,930.051933,sqm,6,Common,1,5,1366
179,438780.0,Meadowlands,Riverbend,2265.0,1271.098846,sqm,5,Enchanting,0,10,1769
180,228500.0,Meadowlands,Crystalhollow,1299.0,928.10097,sqm,5,Common,1,4,1492
181,301000.0,Meadowlands,Brightforge,2099.0,964.33314,sqm,5,Gleaming,1,7,1429
182,170000.0,Meadowlands,Ravenstone,1021.0,1570.525215,sqm,6,Common,1,5,1265
183,183850.0,Meadowlands,Shadowmere,3919.0,3650.15887,sqm,5,Enchanting,1,10,1696
184,184500.0,Meadowlands,Duskwood,1056.0,1235.6099,sqm,5,Gleaming,1,7,1651
185,108538.0,Meadowlands,Dragonspire,927.0,996.384675,sqm,5,Common,1,5,1242
186,237000.0,Meadowlands,Sunspire,1562.0,880.070119,sqm,5,Gleaming,0,8,1647
187,137000.0,Meadowlands,Dragonspire,775.0,1061.416775,sqm,6,Common,1,5,1239
188,65000.0,GnomeBurough,Petalbridge,1221.0,1133.881115,sqm,1,Common,1,3,1118
189,178900.0,Meadowlands,Dragonspire,1161.0,899.30104,sqm,6,Common,1,5,1376
190,337000.0,Meadowlands,Glimmerwood,1819.0,876.07529,sqm,5,Gleaming,0,8,1510
191,265979.0,GnomeBurough,Petalbridge,2030.0,1086.9651,sqm,7,Gleaming,1,7,996
193,155000.0,Meadowlands,Dragonspire,1211.0,944.82351,sqm,6,Common,1,6,1285
194,260000.0,Meadowlands,Glimmerwood,2035.0,919.7397,sqm,5,Gleaming,0,7,1404
195,138000.0,Meadowlands,Sunspire,761.0,749.913016,sqm,5,Common,1,5,1478
196,214000.0,Meadowlands,Dragonspire,1138.0,761.525891,sqm,5,Gleaming,1,7,1645
197,90000.0,Meadowlands,Emberfall,996.0,1002.516273,sqm,5,Common,1,4,1261
198,72000.0,GnomeBurough,Mystvale,629.0,836.127,sqm,4,Common,1,5,1006
199,235000.0,Meadowlands,Sunspire,1434.0,958.387348,sqm,5,Gleaming,0,7,1676
201,163000.0,Meadowlands,Emberfall,1107.0,1043.021981,sqm,5,Common,1,5,1222
202,143000.0,GnomeBurough,Petalbridge,871.0,913.793908,sqm,5,Common,1,6,1789
203,228950.0,Meadowlands,Ravenstone,1373.0,15297.40798,sqm,6,Common,1,5,1313
204,117600.0,Meadowlands,Dragonspire,687.0,806.39804,sqm,7,Common,1,5,1228
205,465000.0,Meadowlands,Silverglen,1596.0,1290.515573,sqm,5,Enchanting,0,10,1619
206,197900.0,Meadowlands,Sunspire,1368.0,966.1912,sqm,5,Common,1,7,1477
207,165000.0,Meadowlands,Duskwood,1130.0,756.137517,sqm,5,Common,1,6,1596
208,185000.0,Meadowlands,Nighthaven,1238.0,1055.192274,sqm,7,Common,1,7,1270
209,128500.0,Meadowlands,Dragonspire,732.0,771.0949,sqm,6,Common,1,6,1209
210,165000.0,Meadowlands,Thornfield,1155.0,984.028576,sqm,7,Common,1,6,1117
211,110000.0,GnomeBurough,Petalbridge,987.0,325.1605,sqm,7,Common,1,5,1128
212,297000.0,Meadowlands,Sunspire,1321.0,988.209211,sqm,5,Gleaming,0,8,1633
213,149500.0,GnomeBurough,Petalbridge,1509.0,751.956882,sqm,5,Common,1,4,1062
214,157000.0,Meadowlands,Dragonspire,1103.0,947.6106,sqm,5,Common,1,6,1372
215,136500.0,GnomeBurough,Sunspire,652.0,412.024805,sqm,5,Gleaming,1,6,1774
216,392000.0,Meadowlands,Riverbend,1091.0,751.492367,sqm,6,Gleaming,0,8,1695
217,185000.0,Meadowlands,Shadowmere,1287.0,2023.42734,sqm,7,Common,1,6,1194
218,136000.0,GnomeBurough,Petalbridge,1943.0,791.53356,sqm,7,Common,1,6,1144
219,150000.0,GnomeBurough,Petalbridge,1204.0,891.8688,sqm,9,Gleaming,1,8,1143
220,37900.0,GnomeBurough,Petalbridge,744.0,550.450275,sqm,6,Common,1,3,1193
221,144000.0,Meadowlands,Dragonspire,1172.0,1053.891632,sqm,5,Common,1,5,1363
222,239900.0,Meadowlands,Sunspire,1129.0,852.663734,sqm,5,Gleaming,0,8,1708
223,224500.0,Meadowlands,Brightforge,1107.0,842.5373069999999,sqm,8,Gleaming,1,6,1510
224,135000.0,Meadowlands,Dragonspire,1599.0,1078.232218,sqm,5,Common,1,5,1303
226,146000.0,Meadowlands,Shadowmere,1038.0,870.965625,sqm,5,Common,1,4,1220
227,130500.0,Meadowlands,Emberfall,1137.0,1255.769851,sqm,8,Gleaming,1,6,1424
228,124000.0,Meadowlands,Dragonspire,1218.0,830.924432,sqm,5,Common,1,5,1385
229,178000.0,GnomeBurough,Petalbridge,1262.0,891.8688,sqm,7,Common,1,7,1068
230,137000.0,Meadowlands,Emberfall,719.0,1256.605978,sqm,6,Common,1,5,1360
231,133000.0,Meadowlands,Emberfall,799.0,696.7725,sqm,5,Common,1,5,1346
232,202000.0,Meadowlands,Duskwood,1366.0,908.870049,sqm,5,Common,1,6,1423
233,207000.0,Meadowlands,Brightforge,1440.0,825.257349,sqm,5,Gleaming,1,7,1406
234,157000.0,GnomeBurough,Stormwatch,1151.0,557.418,sqm,7,Common,1,6,1131
235,159000.0,Meadowlands,Dragonspire,966.0,743.224,sqm,6,Common,1,5,1364
236,134500.0,Meadowlands,Shadowmere,976.0,869.57208,sqm,8,Gleaming,1,6,1275
237,189500.0,Meadowlands,Duskwood,1253.0,741.737552,sqm,5,Gleaming,1,7,1716
238,421250.0,Meadowlands,Silverglen,2037.0,1570.0607,sqm,5,Gleaming,0,8,1678
239,119200.0,Meadowlands,Dragonspire,832.0,1083.620592,sqm,5,Common,1,6,1123
240,280000.0,Meadowlands,Silverglen,1213.0,728.452423,sqm,5,Enchanting,0,9,1725
241,100000.0,GnomeBurough,Mystvale,863.0,562.99218,sqm,5,Common,1,4,1048
242,130000.0,Meadowlands,Dragonspire,664.0,662.39839,sqm,6,Common,1,5,1204
243,115000.0,GnomeBurough,Stormwatch,765.0,568.56636,sqm,6,Common,1,5,1098
245,155000.0,Meadowlands,Emberfall,1386.0,1219.351875,sqm,4,Common,1,5,1313
246,147983.0,Meadowlands,Brightforge,1713.0,651.993254,sqm,5,Common,1,5,1582
247,105900.0,GnomeBurough,Petalbridge,553.0,791.53356,sqm,8,Common,1,6,1167
248,302000.0,Meadowlands,Windwhisper,1403.0,10697.687547,sqm,5,Common,1,7,1211
249,210000.0,Meadowlands,Sunspire,1467.0,812.90125,sqm,5,Gleaming,0,7,1410
250,183500.0,Meadowlands,Duskwood,1173.0,765.334914,sqm,5,Common,1,6,1467
251,145000.0,Meadowlands,Dragonspire,1010.0,780.3851999999999,sqm,6,Common,1,5,1374
252,140000.0,GnomeBurough,Petalbridge,1033.0,529.5471,sqm,6,Common,1,7,1017
253,252678.0,AetherIsles,Wyverncliff,1424.0,802.68192,sqm,5,Common,1,7,1788
254,200000.0,AetherIsles,Wyverncliff,1303.0,772.395542,sqm,5,Gleaming,0,7,1590
255,226000.0,Meadowlands,Sunspire,1137.0,990.810495,sqm,5,Gleaming,0,7,1761
257,275000.0,Meadowlands,Brightforge,1264.0,1189.1584,sqm,5,Gleaming,1,7,1454
258,153575.0,Meadowlands,Stormwatch,1073.0,811.04319,sqm,7,Common,1,6,1023
259,254000.0,Meadowlands,Silverglen,1018.0,579.7147199999999,sqm,5,Gleaming,0,8,1773
260,136000.0,Meadowlands,Dragonspire,1378.0,836.127,sqm,5,Common,1,5,1221
261,130000.0,Meadowlands,Riverbend,926.0,343.834003,sqm,5,Common,1,8,1441
262,146000.0,Meadowlands,Brightforge,846.0,696.7725,sqm,5,Common,1,6,1761
263,240000.0,Meadowlands,Riverbend,1136.0,685.62414,sqm,5,Common,1,8,1599
264,202500.0,Meadowlands,Stormwatch,1405.0,1090.402511,sqm,7,Common,1,6,1077
266,145000.0,Meadowlands,Windwhisper,1323.0,978.454396,sqm,3,Common,1,5,1372
267,143000.0,Meadowlands,Dragonspire,933.0,962.010565,sqm,5,Common,1,5,1308
268,127000.0,Meadowlands,Emberfall,734.0,719.255026,sqm,7,Common,1,5,1332
269,157500.0,Meadowlands,Dragonspire,1107.0,868.64305,sqm,6,Common,1,5,1270
270,153337.0,Meadowlands,Brightforge,941.0,651.993254,sqm,5,Common,1,5,1588
271,180000.0,Meadowlands,Dragonspire,1376.0,1323.86775,sqm,5,Common,1,6,1346
272,130000.0,Meadowlands,Windwhisper,1039.0,643.81779,sqm,4,Common,1,5,1280
273,133500.0,Meadowlands,Dragonspire,773.0,1026.57815,sqm,5,Common,1,5,1306
274,196000.0,Meadowlands,Sunspire,1345.0,861.396616,sqm,5,Gleaming,0,7,1599
275,118000.0,Meadowlands,Dragonspire,867.0,836.127,sqm,5,Common,1,5,1319
276,402000.0,Meadowlands,Glimmerwood,1883.0,4328.257867,sqm,7,Gleaming,0,8,1418
277,279900.0,Meadowlands,Ravenstone,1912.0,1096.2554,sqm,5,Gleaming,0,7,1769
278,84900.0,Meadowlands,Shadowmere,492.0,815.409631,sqm,6,Common,1,3,1149
279,207000.0,Meadowlands,Sunspire,1125.0,1370.597959,sqm,5,Common,1,7,1485
280,255000.0,Meadowlands,Nighthaven,1596.0,978.26859,sqm,6,Gleaming,1,7,1590
281,145000.0,Meadowlands,Sunspire,846.0,1209.132545,sqm,6,Common,1,5,1527
282,135900.0,Meadowlands,Stormhold,1319.0,528.339361,sqm,6,Common,1,5,1177
283,317500.0,Meadowlands,Silverglen,1216.0,1180.239712,sqm,5,Gleaming,0,8,1799
284,118000.0,GnomeBurough,Starfall,759.0,156.07704,sqm,8,Common,1,6,1313
285,113000.0,Meadowlands,Shadowmere,1143.0,812.065123,sqm,4,Common,1,6,1118
286,221370.0,Meadowlands,Silverglen,1018.0,579.7147199999999,sqm,5,Gleaming,0,8,1754
287,290000.0,Meadowlands,Silverglen,1846.0,1232.079586,sqm,5,Gleaming,0,8,1714
288,119500.0,Meadowlands,Dragonspire,730.0,906.547474,sqm,5,Common,1,5,1333
289,359900.0,Meadowlands,Ravenstone,1413.0,1075.538031,sqm,5,Enchanting,0,9,1631
290,169000.0,Meadowlands,Dragonspire,1382.0,1093.003795,sqm,5,Common,1,5,1386
291,129500.0,GnomeBurough,Petalbridge,1583.0,891.8688,sqm,5,Common,1,6,1061
292,221800.0,Meadowlands,Sunspire,964.0,959.130572,sqm,5,Gleaming,0,8,1643
293,231713.0,Meadowlands,Ravenstone,1299.0,777.412304,sqm,5,Gleaming,0,7,1713
294,150000.0,Meadowlands,Mossheart,2264.0,2282.812516,sqm,3,Gleaming,0,9,1523
295,177500.0,Meadowlands,Sunspire,923.0,1045.065847,sqm,5,Gleaming,0,6,1407
296,350000.0,Meadowlands,Silverglen,1710.0,820.705102,sqm,5,Gleaming,0,9,1662
297,148000.0,Meadowlands,Dragonspire,903.0,709.314405,sqm,6,Common,1,5,1388
298,140000.0,Meadowlands,Stormhold,1226.0,780.3851999999999,sqm,5,Common,1,6,1150
300,108000.0,Meadowlands,Shadowmere,1161.0,843.930852,sqm,5,Common,1,4,1136
301,220000.0,Meadowlands,Thornfield,1531.0,1047.481325,sqm,7,Common,1,6,1002
302,127000.0,Meadowlands,Dragonspire,1159.0,734.8627299999999,sqm,5,Common,1,5,1264
303,104000.0,Meadowlands,Thornfield,839.0,724.736303,sqm,5,Common,1,6,1367
